400 PA5-A-Debug-Answer.txt 6
     82.1231    100.8500   -111.9462   -126.8416     36.6375    102.2642
  -44.95   -10.77   -23.52     -43.55   -10.62   -23.49     1.408
   34.43    12.56     0.31      34.94    12.63     0.31     0.520
  -37.92   -18.76   -13.15     -37.84   -18.70   -13.19     0.106
  -11.87     9.04   -32.17     -11.58     9.70   -32.24     0.720
    8.96     8.21    66.14       8.47     8.13    66.87     0.886
    0.41    -5.77    65.13       0.23    -6.39    65.11     0.650
  -44.91   -10.11   -32.78     -43.20    -9.96   -32.52     1.741
   22.60    25.63   -11.40      22.54    25.32   -11.40     0.313
  -13.23   -20.74   -11.47     -11.34   -21.13   -10.24     2.288
   12.20    22.88   -10.83      13.54    22.53   -10.22     1.516
   27.98     4.70   -32.91      27.66     4.76   -32.58     0.467
    6.16    -5.52   -27.15       5.83    -5.62   -26.14     1.072
   -0.93    13.11    20.93       0.35    12.99    21.22     1.319
   33.62    -0.18     4.78      33.65     0.00     5.45     0.695
    8.09    21.52    65.61       8.26    21.03    65.58     0.517
  -33.47   -28.64   -33.58     -33.12   -28.27   -33.38     0.549
   28.80    -4.84   -15.81      29.63    -6.22   -16.03     1.621
   27.94    -4.94   -19.72      28.68    -6.17   -19.91     1.447
  -20.80   -29.66   -17.06     -20.31   -31.07   -16.16     1.746
   34.73    -0.27   -18.78      35.29    -0.35   -18.81     0.561
  -35.59   -20.90   -12.99     -36.02   -21.15   -12.76     0.549
    1.16     5.62    68.90       0.91     5.41    70.27     1.412
  -12.38   -30.87   -26.24     -12.00   -32.25   -26.09     1.437
   -2.10     4.60    40.03      -1.07     4.28    39.84     1.094
   13.50    25.14     5.34      13.44    24.64     5.26     0.510
   -1.63    -6.29    48.71      -1.20    -5.88    48.65     0.593
  -11.61     0.43    -1.32     -11.07    -0.06    -1.44     0.738
   17.26    21.14    18.68      17.25    20.30    18.51     0.861
  -26.50   -31.99   -23.11     -26.63   -32.37   -23.07     0.397
   37.46     3.25    -5.46      38.12     3.38    -5.55     0.677
   22.80     8.55   -35.67      23.92     8.22   -33.99     2.040
    5.08    23.35    27.11       5.00    22.72    26.96     0.647
    2.16   -11.29   -25.20       2.20   -11.84   -25.61     0.695
   32.11    -3.30     5.24      33.13    -3.74     6.39     1.597
   31.09    -0.81   -27.66      30.95    -0.70   -27.58     0.191
   27.15    -6.39     6.22      28.17    -7.53     6.67     1.595
   -4.28   -22.80   -35.30      -3.02   -22.83   -35.60     1.290
  -12.04    -1.20     0.09     -11.72    -1.38    -0.08     0.404
    0.59    23.66    26.23       1.64    22.33    26.30     1.698
    1.21    10.07    -8.43       1.88     8.99    -8.31     1.277
   13.58    12.26   -18.33      13.36    10.77   -17.29     1.831
   -3.65   -22.29   -28.66      -2.05   -23.11   -28.79     1.801
  -41.67   -16.89   -33.41     -39.56   -16.34   -33.06     2.202
  -10.02     6.79   -21.45      -9.94     7.31   -21.30     0.551
  -20.48     9.46   -35.80     -20.28     8.57   -35.53     0.952
  -39.31     0.87   -31.16     -38.08    -0.32   -30.74     1.763
   28.30    10.23    10.03      29.59     9.85    11.11     1.731
   -3.30    -4.57    65.58      -1.98    -4.47    65.75     1.340
   -3.53    -4.59    59.51      -1.94    -4.64    59.81     1.611
   -2.56     8.57   -22.36      -2.64     7.54   -22.26     1.039
  -29.35    -5.61   -47.28     -28.32    -6.03   -45.38     2.205
   13.72     4.13    55.89      14.57     3.53    55.86     1.040
    2.90    -4.79    44.60       3.73    -5.75    44.70     1.277
    9.90     0.47    52.17      10.88    -0.60    52.24     1.458
   17.49    -9.44   -28.82      17.55    -9.44   -29.11     0.303
  -22.02     9.14   -36.26     -21.54     7.99   -36.00     1.274
   34.25     3.96     5.47      34.75     3.61     6.65     1.322
   33.70    14.78    -1.01      34.09    15.08    -0.89     0.499
  -19.45   -12.59    -7.57     -20.00   -13.12    -5.98     1.763
  -41.72    -6.89   -39.11     -39.89    -7.59   -37.65     2.441
  -10.27   -16.13   -14.90      -8.95   -17.24   -13.12     2.480
   -1.54    21.85    36.41      -0.43    21.75    36.47     1.111
   -4.68    15.99    27.39      -3.66    16.09    27.72     1.079
   11.09    -1.92   -27.80      11.83    -2.61   -25.99     2.072
   -2.42     8.37    67.79      -1.89     8.50    67.72     0.557
   -1.00   -12.96   -22.77      -0.37   -13.34   -23.10     0.812
   13.91    22.42    61.28      13.91    22.44    61.28     0.022
   -4.86     8.37   -22.97      -4.80     7.57   -22.93     0.809
   18.62     7.61   -30.18      19.66     7.74   -29.55     1.217
  -24.80   -29.58   -39.69     -24.76   -29.01   -39.14     0.795
   16.96    -8.77   -29.65      16.99    -8.73   -29.16     0.491
   34.50     1.48   -17.64      35.39     1.73   -17.68     0.928
  -29.07   -18.17   -10.13     -28.78   -18.41    -7.65     2.507
   -3.96     5.01    19.38      -2.98     4.46    19.33     1.126
   -3.86     7.54    -8.15      -3.49     6.77    -8.26     0.860
   20.85    20.57    37.60      20.81    19.96    37.69     0.619
  -21.75     8.93   -35.57     -21.43     8.17   -35.39     0.844
   30.25     6.45   -32.09      29.40     6.59   -31.20     1.239
   21.64   -12.38    -6.80      22.93   -13.02    -6.88     1.444
    5.31     1.10    66.79       6.05     1.56    67.38     1.048
   23.80    24.97   -23.22      23.15    24.04   -22.85     1.188
  -37.60    -9.54   -43.43     -36.35    -9.67   -41.47     2.325
   20.57   -13.02   -16.57      21.73   -13.27   -16.86     1.225
  -36.46   -14.92   -44.35     -35.23   -14.61   -42.72     2.068
    1.78     6.81    69.26       1.54     6.61    70.57     1.345
    9.18    25.73     6.75       9.07    24.99     6.67     0.754
   17.27    -8.87   -28.59      17.24    -8.91   -29.16     0.568
   -5.80   -23.40   -41.44      -5.21   -23.60   -41.72     0.683
  -45.02   -13.43   -25.60     -43.77   -13.34   -25.78     1.272
    1.29    16.42    13.41       2.35    16.85    14.60     1.652
   -9.27    -2.74     9.09      -8.46    -2.84     8.91     0.834
   -3.31     2.29    38.08      -2.25     1.92    37.87     1.139
    0.40   -13.73   -18.23       1.37   -14.35   -18.29     1.153
   -4.94   -11.31    -5.24      -4.98   -12.64    -4.80     1.400
  -10.28     4.07   -38.44     -10.38     3.94   -38.39     0.169
   16.91    15.49   -22.18      17.25    15.50   -22.23     0.341
   24.89    20.12    13.71      25.08    20.58    13.74     0.504
   21.60    20.33   -31.75      20.97    20.01   -30.92     1.091
    7.25    21.13    32.31       7.29    21.30    32.34     0.184
   21.54   -11.09    -3.33      21.00   -12.16    -2.83     1.295
   24.71     6.66   -35.94      24.69     6.91   -34.05     1.909
   18.51   -12.87    -8.07      18.32   -13.76    -6.50     1.818
  -17.77   -31.81   -37.25     -17.71   -31.53   -36.91     0.444
   17.29    16.53   -30.47      17.77    16.50   -30.04     0.649
   -9.04   -13.66   -12.49      -8.06   -15.30   -11.73     2.055
    0.87    -4.19    68.76       0.73    -4.11    70.36     1.610
    0.04   -10.07   -28.27       0.04   -10.02   -28.23     0.056
   -6.27    -2.27   -42.34      -5.96    -2.07   -42.46     0.389
   20.52    26.02   -23.48      20.43    25.25   -23.49     0.780
  -14.86   -27.58   -15.16     -14.73   -29.14   -14.39     1.742
   25.84    16.18    15.93      27.18    16.37    16.53     1.484
    9.61    11.86   -18.17       9.98    10.20   -16.75     2.215
   -9.34   -25.19   -43.06      -9.39   -25.11   -42.97     0.136
  -11.09   -30.21   -34.86     -10.76   -31.03   -35.14     0.934
   -2.86    -5.77    62.02      -1.97    -5.58    62.07     0.906
  -18.87   -11.73   -51.33     -18.85   -12.07   -49.71     1.660
    2.21    16.87    65.48       2.35    16.56    65.40     0.359
  -26.91   -24.23   -45.69     -26.62   -23.39   -44.65     1.377
   -1.34    -6.12    58.12      -1.31    -6.07    58.12     0.061
    9.93    -2.06    28.92      10.40    -3.63    29.00     1.644
  -13.94    10.46   -34.87     -14.08     9.99   -34.66     0.539
   27.67    22.67    -4.00      27.49    22.30    -4.05     0.413
   15.60    21.06    46.76      15.50    20.58    46.85     0.504
   -6.49     0.12    26.78      -5.43    -0.50    26.68     1.236
   20.79   -12.50    -6.60      20.25   -13.44    -5.44     1.587
   16.48     3.57    31.21      17.48     2.96    31.46     1.199
   19.49    25.68   -27.89      19.53    24.30   -27.05     1.617
   -5.95    -5.12   -37.29      -4.92    -5.60   -37.52     1.153
  -27.00     8.90   -30.22     -26.80     8.08   -30.08     0.857
   -1.39    -1.01    68.63      -1.84    -0.83    68.62     0.479
   20.65    18.35    37.46      21.98    18.13    37.71     1.377
   10.77   -17.59   -12.31      10.20   -18.27   -12.42     0.885
   19.90   -14.73   -13.02      21.08   -16.10   -13.31     1.823
  -10.67   -29.82   -36.01     -10.37   -30.48   -36.24     0.754
   24.88    11.32   -35.17      24.35    10.55   -33.96     1.532
  -21.71     5.50   -42.38     -21.47     4.29   -41.62     1.449
    8.11    -1.79    45.75       8.88    -2.75    45.96     1.244
   -8.62     6.76   -18.16      -8.57     6.62   -18.18     0.145
   16.98    20.30    21.12      16.84    19.83    21.06     0.496
    4.48    -3.13    47.79       5.35    -4.18    47.87     1.368
  -41.82   -19.70   -34.38     -39.53   -20.26   -33.56     2.490
   -2.47     5.74    31.48      -1.73     5.28    31.44     0.874
  -22.96     8.33   -36.30     -22.61     7.51   -36.11     0.912
   17.81   -12.30   -22.87      18.49   -13.04   -23.37     1.122
  -39.25    -9.11   -12.82     -39.08    -9.17   -12.95     0.225
  -14.05   -10.23    -3.66     -14.56   -10.67    -3.08     0.885
   13.98    25.36     4.58      13.94    24.72     4.49     0.645
   28.30     3.87     8.68      29.36     3.65     9.83     1.581
   10.47    21.45    54.70      10.66    20.90    54.73     0.590
    4.95    10.44    68.63       5.93    10.52    69.99     1.674
   -1.68     4.34    68.41      -0.87     4.49    68.38     0.820
   -1.27     6.89    40.74      -0.22     6.56    40.55     1.116
   35.82    -0.64    -0.15      36.94    -0.89     0.78     1.471
   -8.93    -2.97    11.10      -8.03    -3.08    10.90     0.923
  -12.30   -30.05   -37.09     -12.24   -30.50   -37.42     0.565
   -1.00    15.86    20.74       0.58    16.03    21.29     1.677
   -3.67    13.21    43.83      -4.63    14.22    44.11     1.426
   -5.40    15.14    38.34      -4.94    14.94    38.30     0.509
    3.74    -3.85    56.48       4.45    -4.85    56.43     1.223
   35.49     2.69     4.29      36.41     2.68     4.48     0.948
    5.40    25.04     9.43       6.92    24.25    10.05     1.819
  -12.80    -8.00   -50.90     -12.88    -8.55   -49.61     1.403
   30.96    10.20   -25.60      31.01    10.22   -25.62     0.056
  -21.49     8.41   -38.46     -21.22     7.67   -37.54     1.210
    2.63    24.20    18.65       3.71    23.06    18.81     1.579
   10.52    18.48   -10.48      11.74    17.92    -9.91     1.457
  -28.94   -31.40   -22.81     -28.96   -31.43   -22.81     0.035
   -4.54   -11.49   -37.05      -4.47   -11.42   -37.05     0.098
  -21.19   -26.58   -43.46     -20.96   -26.18   -43.08     0.591
   16.01    16.72   -16.70      16.57    17.00   -16.42     0.686
   -2.51     8.55    -0.83      -1.95     7.72    -0.81     1.006
  -14.94   -31.76   -34.97     -14.85   -32.41   -35.16     0.682
   22.54    14.73   -33.97      21.95    14.21   -32.78     1.430
   16.89    17.61   -19.67      17.11    17.66   -19.68     0.230
   -9.70    -2.06     7.33      -9.04    -2.18     7.10     0.719
   20.94   -11.19    -3.62      20.53   -12.12    -3.23     1.090
   -3.21     7.56    60.53      -1.92     7.50    60.76     1.318
  -32.67    -3.72   -12.95     -31.51    -3.58   -11.08     2.202
    0.03    19.99    14.92       1.38    18.82    15.34     1.832
   18.77    24.91   -26.29      19.38    24.19   -26.26     0.941
   21.44    22.95   -29.90      20.27    22.51   -29.27     1.397
   -4.91   -25.30   -31.71      -3.71   -25.86   -31.85     1.326
   14.41    19.69    32.32      14.51    18.74    32.24     0.958
  -11.56   -27.45   -41.41     -11.55   -27.44   -41.41     0.001
  -42.23    -5.63   -16.97     -41.44    -6.12   -17.00     0.926
   13.80    -6.52   -29.25      14.27    -6.36   -28.17     1.183
   20.76    25.44   -27.76      20.51    24.24   -26.86     1.521
   -4.32    -2.81    38.50      -3.13    -2.62    38.26     1.232
   -5.20   -18.02   -18.17      -4.36   -19.50   -17.17     1.968
  -41.01   -16.73   -35.22     -39.32   -16.25   -34.67     1.839
   -0.89    19.93    17.37       0.47    19.05    18.20     1.822
  -41.34    -1.94   -20.75     -40.46    -2.48   -20.83     1.034
   -2.66    -5.57    61.18      -1.97    -5.42    61.22     0.714
   20.11    19.55    41.05      19.90    20.29    40.95     0.774
    2.96    24.20    19.27       3.84    23.27    19.40     1.288
   35.59     7.75     2.47      36.23     7.94     2.57     0.679
  -12.71     9.52   -34.22     -12.64     9.73   -34.31     0.243
   36.78     6.70    -3.70      37.10     6.85    -3.74     0.360
    2.88   -12.80    -1.22       2.63   -13.28    -1.12     0.553
   -5.57    -8.88     8.54      -5.69    -9.05     8.57     0.204
    3.13    -6.76    25.78       3.08    -8.18    26.04     1.443
  -29.11   -31.79   -29.96     -28.97   -31.56   -29.91     0.273
  -24.91   -32.43   -28.01     -25.13   -33.18   -28.05     0.783
   -2.51     5.11    60.97      -1.65     5.27    60.95     0.879
  -24.84   -29.76   -38.95     -24.71   -29.27   -38.69     0.572
  -34.22   -25.45   -39.39     -33.27   -24.56   -38.65     1.495
    0.30    22.54    19.83       1.76    21.17    20.46     2.098
  -40.50   -14.94   -39.14     -38.61   -14.14   -38.47     2.162
   29.30    14.43     9.77      30.51    14.86    10.49     1.479
  -20.32     6.49   -41.09     -20.24     5.53   -40.23     1.290
   -1.75     6.82    50.16      -0.56     6.29    50.27     1.303
  -16.90    -8.06    -4.74     -17.11    -7.87    -4.16     0.648
    5.01    21.67     6.52       6.66    21.11     6.97     1.798
  -17.27    -8.63    -5.24     -17.65    -8.30    -4.22     1.130
    1.49    11.33     1.63       2.30    10.42     1.70     1.224
   20.45    -2.86    14.47      21.24    -2.96    15.61     1.389
   32.68    -2.52   -17.53      33.45    -3.31   -17.66     1.115
   -3.07    -1.37   -32.66      -2.97    -1.38   -32.69     0.105
   -5.04    15.03    27.34      -3.57    15.37    27.90     1.615
   23.07    -0.59   -33.77      23.67    -0.44   -33.03     0.958
  -30.15   -31.35   -28.68     -30.02   -31.15   -28.66     0.243
    6.37    25.93     9.30       7.46    24.91     9.58     1.511
   -3.40     9.15    61.00      -1.92     9.07    61.26     1.506
   19.37    25.21   -22.48      19.91    24.82   -22.50     0.663
   23.53    14.40    20.09      24.95    14.59    20.36     1.458
  -34.34    -0.58   -13.18     -34.32    -0.60   -13.19     0.022
   -1.01     2.37   -29.95      -1.63     2.13   -29.68     0.715
   29.03    22.62   -10.43      28.85    22.33   -10.47     0.335
   19.73    26.06   -16.82      20.09    25.02   -16.72     1.099
   19.98    19.44   -33.29      19.34    19.13   -31.82     1.631
   18.27   -12.37    -7.35      18.19   -13.06    -6.11     1.422
   24.19    25.52   -12.17      24.02    24.97   -12.20     0.574
    2.13    14.17     8.62       3.26    13.61     8.82     1.274
    6.85    -1.71    57.92       7.57    -2.88    57.97     1.372
   -1.10    19.68    18.03       0.24    19.04    18.56     1.584
   18.36    -7.92     5.35      17.91    -8.48     5.42     0.717
   -3.97    -7.43    25.52      -4.10    -7.57    25.53     0.185
  -34.50   -18.65   -44.68     -33.58   -17.70   -43.13     2.031
  -34.13     5.75   -30.23     -33.26     4.89   -29.94     1.251
  -13.70   -10.56   -51.18     -13.72   -10.53   -50.21     0.969
    4.72    -7.45    18.02       5.61    -9.09    18.35     1.896
    3.52    21.79    10.05       5.51    21.52    10.95     2.199
    4.95    -8.48    14.24       5.97    -9.90    14.56     1.777
   -3.02    20.79    28.19      -1.51    19.90    28.64     1.817
   -1.52     4.63    68.62      -0.91     4.74    68.59     0.623
  -35.54   -24.09   -39.45     -34.23   -23.29   -38.43     1.849
   -4.34    15.72    41.25      -4.31    15.70    41.24     0.034
  -40.73   -18.64   -36.70     -38.42   -17.97   -35.94     2.525
  -10.60    -8.81     0.78     -10.93    -9.30     1.12     0.675
   -1.02    13.30    21.37       0.27    13.17    21.66     1.328
   12.58    -0.37    31.75      13.52    -1.48    31.98     1.477
   -8.13    -2.52    19.15      -7.13    -2.77    19.08     1.034
    0.11    -5.61    67.95       0.40    -6.54    67.97     0.972
   -2.74     4.32    47.72      -1.48     3.75    47.84     1.388
   -0.97    -6.41    39.15      -1.11    -6.51    39.16     0.173
  -43.68    -5.24   -22.46     -42.69    -5.84   -22.55     1.155
  -29.59   -14.11    -9.26     -30.29   -14.10    -6.89     2.467
    4.96    -5.14   -27.39       4.69    -5.29   -26.39     1.047
    7.11    21.10     1.16       8.14    21.13     1.41     1.064
   24.02    -7.39    11.85      24.72    -8.16    12.31     1.141
   -0.62    19.17    18.10       0.27    18.98    18.45     0.982
   33.21     1.97     4.45      33.35     1.31     5.83     1.534
    1.25   -12.23    -2.96       0.98   -13.01    -2.80     0.840
   12.08    -2.57    22.40      12.86    -4.13    23.04     1.857
  -37.24   -15.60   -11.45     -37.82   -15.73   -11.15     0.668
  -25.55   -23.02   -46.37     -25.56   -22.44   -45.65     0.924
   18.95    21.59   -32.63      19.25    20.77   -31.37     1.526
  -45.39   -10.70   -31.47     -43.36   -10.51   -31.15     2.067
   -0.12    15.89    18.88       1.24    16.07    19.33     1.441
   16.15     7.26    45.80      16.99     6.90    45.85     0.918
   -3.13   -12.51   -32.03      -3.08   -12.42   -32.04     0.106
   35.82     6.11   -11.85      35.96     6.12   -11.88     0.146
   22.90    20.86   -29.76      22.26    20.41   -29.19     0.972
   16.91    20.76   -24.36      16.81    20.76   -24.33     0.099
   28.41    22.71   -16.30      28.26    22.52   -16.26     0.247
    0.20   -13.95   -18.33       0.91   -14.85   -18.62     1.188
   19.83   -10.98    -4.04      19.45   -11.84    -3.68     1.010
   -8.97   -10.23    -1.18      -9.09   -11.03    -0.88     0.864
    2.31    -2.68    69.00       2.60    -2.31    70.19     1.283
   12.84    27.56    -6.34      13.88    26.09    -5.61     1.943
    5.72    19.27     2.03       7.28    18.38     2.64     1.891
  -41.91   -21.13   -27.51     -40.83   -20.85   -27.50     1.119
   19.50     1.38   -32.04      20.33     1.52   -31.01     1.332
   -4.53    16.07    25.39      -3.26    16.73    26.29     1.687
  -25.42    -0.95   -47.17     -24.80    -1.70   -45.62     1.832
  -31.12   -20.65   -45.92     -29.79   -20.11   -44.60     1.944
   -4.21   -23.75   -30.19      -2.86   -24.44   -30.31     1.518
   31.79    17.91    -3.84      31.47    17.58    -3.67     0.488
    5.50     9.26    67.71       6.34     8.93    69.24     1.778
   17.04    15.30   -19.51      17.27    15.17   -19.53     0.263
  -16.98     1.96   -45.99     -16.90     1.03   -44.76     1.549
   -5.02   -13.96   -11.29      -5.58   -14.56   -10.58     1.091
   27.69    -4.10   -25.59      27.97    -5.01   -25.90     0.995
    6.91     8.31    65.70       8.16     7.65    66.92     1.867
   14.80    18.91    65.47      15.88    19.58    65.66     1.290
   11.03    22.06    -9.69      12.74    21.69    -8.89     1.925
   35.02    -0.76     0.95      36.59    -1.39     1.09     1.702
  -24.94   -32.20   -34.70     -24.79   -31.68   -34.49     0.572
    7.65   -15.22   -16.58       7.67   -15.20   -16.56     0.032
   13.44    13.72    68.57      12.61    13.70    70.05     1.704
  -44.28   -12.17   -19.89     -43.07   -11.97   -20.07     1.236
   -1.98     4.91    41.46      -0.85     4.30    41.56     1.285
   -8.84     0.75     5.36      -8.29     0.43     5.13     0.674
  -31.54   -29.92   -32.12     -31.43   -29.69   -32.11     0.253
   16.73     7.59    42.15      17.68     7.20    42.31     1.040
  -19.94     8.21   -39.23     -20.03     7.28   -37.94     1.595
   29.18    20.64    -0.79      29.40    20.74    -0.76     0.243
   -7.03    -9.36   -39.80      -5.63    -9.40   -39.68     1.404
  -34.42   -15.69    -9.99     -35.11   -15.54    -8.97     1.230
  -37.93   -25.58   -29.02     -37.74   -25.35   -28.97     0.300
   18.59    19.38    47.51      18.53    20.51    47.54     1.132
    4.94   -14.59    -5.96       4.76   -15.00    -5.90     0.442
  -35.49   -17.16   -10.90     -36.53   -17.29    -9.84     1.500
   20.96    19.30   -32.86      20.55    18.88   -31.41     1.572
   17.02    20.16    23.35      16.83    19.52    23.26     0.676
    9.43    -7.46     7.81      10.41    -9.17     8.54     2.098
   -6.95   -24.39   -42.42      -6.94   -24.42   -42.46     0.053
   16.70    -1.03    20.10      17.77    -2.16    20.52     1.602
   10.61     6.32    66.45       9.80     6.01    67.69     1.513
   24.23    -8.79    -5.85      25.41    -9.92    -6.14     1.657
   20.75    -9.76     6.74      20.25   -10.25     6.85     0.709
   14.21    -7.46   -29.27      14.87    -7.41   -28.50     1.020
   23.27    14.21    20.90      24.58    13.89    21.36     1.429
   -2.01     9.21    19.36      -1.32     8.77    19.42     0.825
   13.16    20.48   -13.64      14.36    20.66   -12.70     1.535
   18.95    -5.86    11.83      18.76    -6.87    12.07     1.053
   -4.71    -9.46     7.10      -4.95    -9.80     7.15     0.415
   19.15    25.25   -21.80      19.77    24.62   -21.84     0.887
  -14.01   -31.61   -28.40     -13.50   -32.94   -28.16     1.447
   31.60    -4.14     2.06      32.36    -5.50     2.07     1.555
   -5.50    -9.43     5.76      -5.60    -9.84     5.88     0.444
   14.36     6.43    66.20      15.70     6.01    66.18     1.403
   25.69     3.72   -35.47      25.64     3.65   -35.27     0.217
  -39.80     0.51   -23.25     -39.03    -0.02   -23.27     0.937
    7.35    21.33    65.67       7.53    20.78    65.64     0.578
   14.75    -7.30   -29.46      15.27    -7.26   -28.85     0.801
  -20.72     5.31   -42.76     -20.50     4.20   -42.06     1.331
    3.46    10.52   -16.69       4.05     9.10   -16.49     1.549
   31.74    -2.19   -23.73      32.40    -2.43   -24.02     0.757
   25.38    17.05   -29.40      24.59    17.04   -28.63     1.102
   11.73    15.45    69.11      11.36    15.50    70.28     1.235
   11.53    11.07   -19.78      12.41     9.56   -18.59     2.118
   19.78   -13.11    -7.54      19.34   -14.08    -6.29     1.643
    4.95    19.55    66.26       5.88    18.72    66.27     1.253
