400 PA5-A-Debug-Answer.txt 6
   -111.9752     -4.5868    -60.7509   -143.5450    -59.8335    -60.6204
  -23.96   -33.25   -39.43     -23.80   -31.36   -37.92     2.433
    3.63    17.52    52.56       3.69    17.25    52.43     0.304
  -13.77    11.58   -39.32     -12.86    12.27   -40.22     1.444
   16.12    24.53    28.05      16.59    25.30    29.02     1.323
  -29.45     0.39   -11.91     -29.71     2.55    -9.83     3.006
  -29.76   -14.86    -5.22     -30.04   -15.57    -3.39     1.980
   -7.37   -23.32   -43.41      -9.03   -22.62   -42.52     2.004
  -15.93   -36.59   -23.56     -16.19   -34.04   -23.81     2.569
  -17.72    -3.30    -2.36     -18.15    -3.56    -0.99     1.458
   13.32   -19.62    -9.47      13.34   -18.07    -9.07     1.604
    3.83    -9.35    49.70       3.87    -9.82    49.68     0.473
  -15.07   -23.91    -6.76     -14.98   -23.87    -6.49     0.283
   -7.52    -7.37    10.80      -6.79    -6.68    10.55     1.042
   20.68     3.87    29.52      21.04     3.74    29.58     0.392
   -6.31     4.54    49.67      -4.56     4.49    49.88     1.769
    5.69    20.83    45.22       5.63    21.26    45.28     0.436
   -7.88     4.92    12.40      -7.67     4.88    12.37     0.220
   15.76     2.16   -23.00      14.93     2.26   -24.41     1.632
   24.97    12.23    21.88      25.55    12.20    22.11     0.622
   22.34    19.23    23.45      23.65    19.46    24.19     1.524
   -7.57    -5.32    12.68      -7.11    -5.08    12.50     0.555
   -6.21   -25.50    -7.64      -6.20   -25.42    -7.70     0.103
  -22.14   -20.44   -51.90     -21.83   -19.80   -50.27     1.776
   14.52   -13.01     6.27      14.37   -12.25     5.90     0.863
   -2.79    -7.54    34.68      -1.11    -6.65    34.67     1.892
   17.14    10.24    46.22      19.15    10.81    46.45     2.098
    4.87    20.78     7.74       4.59    21.19     7.44     0.582
    5.03   -12.29    19.98       4.87   -11.38    19.72     0.962
   25.13   -16.04   -13.32      24.93   -15.50   -12.86     0.732
    1.85   -10.75    23.33       1.82    -9.68    23.26     1.071
  -43.37    -7.63   -17.28     -44.25    -7.48   -17.29     0.893
  -31.87   -22.62   -46.64     -31.81   -22.16   -46.07     0.734
   -6.23     9.35   -16.47      -5.47    11.12   -17.45     2.164
   34.97     8.29   -22.36      34.94     8.29   -22.36     0.032
  -12.23   -27.32   -46.82     -13.13   -25.19   -45.12     2.865
    0.83    27.55    18.02       1.04    28.13    17.94     0.624
   10.81    -7.06    41.31      10.93    -7.33    41.30     0.288
   24.06    15.74   -25.79      24.41    16.90   -27.34     1.962
   37.11     0.99    -7.27      36.59     1.14    -7.30     0.538
  -42.07    -6.11   -28.90     -42.39    -6.16   -28.98     0.335
   23.21     0.90    17.41      23.13     0.96    17.36     0.118
   -5.90     7.60    51.86      -4.23     7.09    51.74     1.752
  -27.41   -20.87   -50.65     -26.91   -20.18   -48.99     1.866
  -36.66    -5.67   -42.77     -37.94    -5.21   -43.83     1.727
  -14.80   -35.70   -20.12     -15.06   -33.58   -20.52     2.169
   -7.85    -3.38    16.08      -6.69    -2.90    15.67     1.322
  -15.02    14.62   -28.99     -14.66    17.23   -28.98     2.632
   -1.62    -8.28    34.33      -0.70    -7.43    34.28     1.248
  -33.67     0.44   -12.69     -33.90     2.73   -10.48     3.192
  -11.88   -24.29    -7.66     -11.88   -24.29    -7.67     0.020
   19.91    10.17   -28.81      20.32    10.22   -28.40     0.587
   15.26    18.26    46.38      16.70    18.78    47.02     1.661
   -5.41    10.42    36.11      -4.10    10.59    36.38     1.340
   15.34    10.30   -13.36      13.84    11.11   -14.17     1.890
  -40.21   -16.84   -11.75     -41.03   -17.22   -11.33     1.000
   34.08     3.73   -24.44      33.25     4.01   -24.25     0.893
   -3.88    -9.34    55.63      -2.25    -8.03    55.83     2.111
    2.26   -27.31   -15.76       0.94   -25.92   -16.07     1.950
   15.15    -4.00   -24.49      15.22    -3.90   -24.23     0.287
  -30.59   -35.87   -24.26     -30.09   -34.33   -24.42     1.625
  -12.94     0.97     1.40     -13.79     1.15     1.95     1.017
    1.93    -9.33    38.66       2.25    -8.72    38.63     0.686
  -39.97    -0.36   -32.61     -41.28    -0.42   -33.06     1.375
   -6.38    18.74    17.52      -5.93    18.85    17.82     0.556
   25.20   -10.22     2.57      24.23    -8.94     1.87     1.756
    3.12    -1.89   -23.41       3.11    -1.93   -23.33     0.096
    5.75    14.84    -0.69       5.51    15.65    -1.19     0.982
   15.71    12.17    50.15      17.15    12.89    51.14     1.887
   14.82     1.31   -23.20      14.52     1.67   -24.27     1.167
   16.89    -0.03   -24.80      16.35    -0.10   -25.46     0.852
    1.53   -10.97   -26.05       1.32   -10.99   -25.75     0.366
  -12.72   -29.98   -10.48     -13.35   -28.72   -11.12     1.544
  -27.83    10.62   -35.50     -28.93    11.88   -36.55     1.978
  -24.20    -9.03    -5.11     -24.40    -8.85    -3.48     1.649
  -33.50   -22.12    -8.46     -34.27   -22.70    -7.84     1.147
    8.62    22.57     4.35       7.91    22.81     4.05     0.812
  -26.07     6.91   -17.90     -26.28     9.83   -16.15     3.408
   -8.42   -34.27   -27.21      -9.82   -31.76   -26.97     2.886
   31.01    17.94    -5.85      31.72    18.34    -5.62     0.854
   36.05     9.03    -5.73      37.32     9.13    -5.51     1.295
   -6.27    22.91    15.79      -5.57    23.07    16.49     1.000
   35.14    -2.63     1.58      33.68    -1.31     1.37     1.978
    4.64   -21.79    -5.62       4.20   -20.47    -6.67     1.748
   24.63   -13.57    -0.71      23.67   -12.27    -2.87     2.698
   -1.91   -14.73   -33.86      -2.09   -14.77   -33.82     0.190
   -2.58    14.72    51.87      -1.84    14.26    51.78     0.871
   15.57    27.82   -12.51      12.98    28.03   -12.53     2.603
  -24.71     7.34   -42.11     -24.86     8.12   -42.77     1.039
    2.08     9.49   -10.59       1.97    12.17   -10.97     2.701
   -8.50   -29.00    -9.21      -8.80   -28.14   -10.58     1.641
    9.33    -7.69    46.42       9.48    -8.08    46.40     0.427
   36.90     1.33    -9.36      36.50     1.58    -9.29     0.468
  -11.43   -25.72   -47.23     -12.77   -24.14   -45.98     2.421
   24.53    25.33     1.22      26.08    26.92     1.25     2.217
    9.96    19.87     0.53       9.19    20.23     0.02     0.987
   11.19    -6.85    43.60      11.34    -7.18    43.58     0.371
   -2.81    -5.52    28.36      -1.43    -4.87    28.35     1.520
   34.36    -3.10     2.07      33.06    -1.92     1.89     1.766
  -14.05    -6.79   -51.98     -14.89    -6.88   -51.04     1.265
   -0.73    -9.73    20.98       0.21    -8.50    20.78     1.559
    0.14    13.48     5.42      -0.53    14.13     5.14     0.979
  -18.88     2.16   -46.20     -19.30     3.56   -47.71     2.095
   16.55    11.20    49.69      18.10    11.75    50.11     1.694
    7.46    25.35    28.55       7.52    26.25    28.67     0.916
    2.96    -4.87   -23.79       3.22    -4.89   -24.24     0.517
   28.74    -1.11    11.40      28.16    -0.40    10.40     1.359
  -28.69    10.81   -26.49     -30.37    13.68   -26.35     3.325
   -8.96   -34.85   -31.39     -10.32   -31.70   -31.25     3.428
    1.34    26.68    16.22       1.25    26.87    15.79     0.480
    7.68    24.04    31.88       7.79    24.88    32.32     0.956
   23.32    13.61    25.76      23.93    13.56    26.02     0.667
    9.43   -10.29    22.85       9.22    -9.52    22.69     0.810
  -19.85   -37.41   -32.49     -19.91   -35.14   -32.19     2.288
    1.70     6.38    58.66       1.68     6.37    57.76     0.895
  -35.63   -17.51   -45.62     -35.58   -17.46   -45.54     0.107
    7.14     3.55    57.73       7.52     3.55    58.17     0.581
    8.93    -5.27   -21.20       8.84    -5.59   -21.70     0.606
   -5.95    -1.31    44.95      -4.20    -1.29    45.06     1.756
   12.17   -10.10    15.13      12.01    -9.88    15.04     0.287
    8.91    21.23    46.44       8.96    20.57    46.24     0.694
    4.67    -9.41    35.14       4.70    -9.06    35.12     0.346
  -41.38   -13.60   -30.42     -41.74   -13.55   -30.55     0.386
   32.08    10.03   -25.34      33.02    10.06   -25.83     1.059
    8.29     9.63   -11.25       8.45    10.84   -12.75     1.932
   22.23    26.46   -18.78      23.61    28.01   -19.55     2.212
  -23.72   -34.84   -14.14     -24.03   -33.64   -14.78     1.402
  -43.11    -8.21   -22.96     -43.94    -8.26   -23.25     0.879
   -3.65    -4.66    33.06      -2.16    -4.11    33.21     1.592
    7.73    23.46     5.58       7.51    23.51     5.50     0.239
  -39.67    -1.49   -14.91     -41.99    -0.48   -13.38     2.952
   20.67    19.87    28.27      22.18    20.47    28.66     1.681
   -9.90   -27.91   -44.58     -11.44   -25.87   -43.38     2.825
   34.31    -2.19     3.97      33.21    -1.39     3.46     1.455
   26.42    15.81   -26.43      26.39    16.32   -27.32     1.029
   24.10     9.46   -28.04      23.87     9.77   -29.76     1.760
   26.89    23.64    -4.46      28.21    24.67    -4.30     1.685
  -43.46   -18.13   -23.57     -43.56   -18.16   -23.59     0.104
  -25.05   -29.99    -9.29     -25.36   -29.24    -9.83     0.972
   16.18    -0.71    37.44      17.10    -1.26    37.44     1.069
  -10.71    26.74    21.14     -10.15    26.35    21.64     0.849
   -9.91   -21.46    -8.41      -9.74   -21.63    -7.90     0.558
    2.93   -24.69   -30.48       1.70   -23.30   -29.80     1.976
   31.18    16.51   -20.97      31.89    17.31   -22.51     1.880
    2.43   -10.97    23.67       2.40    -9.65    23.58     1.323
   29.93     2.71   -28.28      29.32     3.48   -26.92     1.685
   17.02     5.75    54.57      17.17     5.48    55.91     1.378
  -18.18   -25.77    -6.81     -18.42   -26.02    -6.46     0.482
   24.62     4.03   -28.31      24.02     3.58   -29.55     1.453
   -6.87     1.23    50.44      -4.80     1.11    50.76     2.094
   -3.37   -19.30   -38.26      -3.98   -19.37   -37.50     0.978
    2.66   -10.50   -25.25       2.28   -10.48   -24.86     0.544
   -3.94    12.14    11.32      -4.58    12.57    11.09     0.803
    0.15     7.28   -16.72       0.60     8.81   -18.15     2.140
  -40.05     2.80   -24.54     -42.01     3.57   -24.91     2.137
   11.68    28.99    14.82      11.11    30.04    14.98     1.199
  -22.52   -12.17    -4.01     -22.91   -12.18    -3.09     1.003
  -34.97     3.53   -13.03     -34.06     3.71   -11.51     1.781
   -2.32    -8.38    21.58      -0.66    -7.46    21.24     1.923
   25.46   -13.72   -13.87      25.27   -13.68   -13.79     0.219
   24.34    21.17    16.34      25.61    21.81    16.85     1.512
   37.04     6.69   -11.38      36.79     6.54   -11.34     0.298
   14.68    15.78    50.58      15.97    16.07    51.34     1.519
   -4.60    -3.60   -34.97      -4.83    -3.74   -34.92     0.274
  -40.87   -12.83   -12.48     -42.42   -13.22   -11.59     1.837
   -4.99    10.33    49.54      -3.72    10.04    49.13     1.370
  -13.86   -28.95   -45.87     -15.03   -26.75   -44.41     2.887
   18.81    10.05    39.23      20.43    10.27    39.52     1.654
   37.40     6.95    -9.25      37.09     7.00    -9.23     0.314
   16.77    -7.24    15.71      16.42    -6.58    15.61     0.758
  -21.48   -13.79    -3.42     -21.55   -13.91    -3.04     0.415
   -0.19    -9.67    22.12       0.61    -8.80    22.13     1.181
   -2.12   -10.21    15.85      -0.58    -9.06    15.22     2.022
   36.92    -0.13    -4.32      35.97     0.23    -4.47     1.027
   10.44    -6.70    48.82      11.02    -7.56    48.68     1.054
    9.04   -13.96    11.82       8.51   -13.09    11.58     1.040
   10.04    -9.48    22.91       9.98    -9.28    22.87     0.211
  -30.94   -32.48   -16.96     -30.77   -32.04   -17.21     0.535
   13.94     3.58    56.83      13.87     3.54    56.31     0.529
  -13.41    20.42    26.26     -12.59    20.81    26.12     0.922
  -36.79   -28.52   -34.42     -36.38   -28.07   -34.02     0.728
    3.75    14.25     1.32       2.65    15.38     0.86     1.643
   15.30     2.80    56.90      15.23     2.76    56.21     0.694
   13.47    -4.04    41.83      14.24    -4.70    41.97     1.029
   14.21    22.44    31.09      14.45    23.92    31.71     1.629
   15.36     7.32   -16.52      13.80     8.96   -17.62     2.520
   -4.19    -1.29   -31.63      -4.35    -1.31   -31.49     0.213
  -29.59     4.52   -42.13     -30.19     5.30   -43.33     1.545
    2.24   -16.26     5.13       2.50   -14.34     4.64     1.991
   23.51     9.75    24.65      24.12     9.63    24.86     0.657
   31.61    -5.47   -11.85      30.30    -4.49   -11.28     1.730
   12.73     4.33   -18.95      11.57     5.84   -19.78     2.070
    2.00    19.01    50.34       2.51    19.32    49.63     0.926
   -2.03    28.83    21.30      -2.19    29.43    21.17     0.633
   13.48    28.76     1.29      12.62    29.68     1.24     1.263
    0.11    18.26    12.44      -0.29    18.57    11.87     0.759
   32.42    -5.72   -14.66      30.97    -5.73   -15.22     1.551
   12.21    -8.47    22.31      11.57    -7.96    22.09     0.848
   35.94     1.71   -16.17      35.26     2.08   -15.91     0.823
   20.40    28.99   -16.06      21.63    30.60   -15.98     2.032
   31.05    19.14   -17.33      32.40    20.31   -17.52     1.799
   15.51    27.33    21.83      15.75    28.72    22.20     1.460
  -28.48   -17.30    -4.83     -28.61   -17.63    -3.97     0.929
    5.95    21.41    42.28       6.14    22.01    42.47     0.656
    1.89    19.94    50.13       2.44    19.35    49.59     0.967
  -17.96   -37.41   -23.86     -18.70   -34.65   -24.28     2.896
   20.14    23.60   -26.54      20.52    23.82   -27.03     0.652
   16.37    13.73    46.22      17.93    14.00    46.92     1.723
   31.55    -1.74     8.76      30.89    -0.74     8.00     1.416
   14.74    25.54   -28.31      15.60    27.06   -29.80     2.299
   -1.86    -8.76    46.82      -1.05    -7.72    47.01     1.324
  -41.14   -18.88   -15.70     -42.08   -19.34   -15.15     1.183
   13.38    -2.99   -23.20      13.22    -3.01   -23.79     0.606
    0.16   -24.66   -33.31      -0.55   -23.37   -31.93     2.021
   16.60     8.84    52.20      18.80     9.32    52.44     2.267
   11.99    -4.67    50.95      13.30    -5.61    51.02     1.611
   21.37     7.07    28.91      22.20     6.95    29.08     0.856
   -5.19    12.94    43.15      -4.12    13.21    43.15     1.106
   -6.06   -27.98    -8.69      -6.42   -26.39    -9.42     1.784
   -7.70     4.48    11.42      -7.84     4.51    11.43     0.151
  -29.27   -28.42    -8.25     -29.15   -28.30    -8.39     0.216
  -15.99     6.89   -13.95     -17.13     9.47   -12.73     3.078
   21.84    27.97   -15.35      22.78    29.87   -15.60     2.135
    8.68    21.92     2.01       8.51    21.97     1.94     0.196
   13.93    11.75    -8.59      13.32    13.83    -9.53     2.363
   15.55     2.73    56.92      15.48     2.69    56.19     0.733
    6.96   -17.24   -17.19       6.32   -16.32   -16.31     1.435
  -16.87   -12.49    -3.41     -16.84   -12.62    -3.00     0.429
   30.49    -5.54     2.83      29.93    -4.25     2.33     1.486
  -23.06    -9.51    -4.18     -23.47    -9.41    -3.30     0.972
   35.60    -0.69   -12.83      34.72    -0.18   -12.70     1.029
   12.01    16.33    55.93      12.09    16.39    56.28     0.358
  -39.38   -27.19   -20.96     -39.34   -27.16   -20.99     0.059
  -21.90   -21.10    -4.88     -21.89   -21.17    -4.60     0.284
   16.38    23.20    29.26      16.81    23.82    30.15     1.163
   17.33     7.28   -22.59      16.16     7.59   -23.33     1.419
   -4.58     2.73    33.94      -3.53     2.73    33.97     1.054
   30.51     1.78    11.29      29.63     1.85    10.15     1.443
   -0.31    28.46    27.12       0.03    29.10    27.11     0.722
    4.37   -15.35     9.04       4.51   -14.01     8.80     1.367
   27.01     3.00   -29.58      26.61     3.65   -28.98     0.968
   -9.25     0.43     9.02      -9.58     0.43     9.21     0.384
    3.48    18.11    50.84       3.55    17.97    50.70     0.211
   18.77    -0.36    27.90      19.30    -0.62    27.99     0.591
  -28.81   -26.99    -7.04     -28.85   -27.02    -6.96     0.095
  -23.46    -0.76    -7.45     -24.17    -0.14    -5.77     1.928
   11.08   -12.68    10.55      10.89   -12.24    10.36     0.509
   -5.80     3.83   -31.61      -6.67     3.58   -31.25     0.976
    4.40    22.11     9.55       3.86    22.29     9.26     0.633
   31.58     2.27    11.09      30.91     3.15     9.47     1.967
  -38.21   -14.53   -43.97     -38.31   -14.59   -44.05     0.136
   -4.51   -25.72    -6.50      -4.70   -24.84    -6.92     0.991
  -15.38    -2.59   -50.56     -15.51    -2.66   -50.45     0.174
    4.33    15.49     1.76       3.69    16.40     1.38     1.179
  -10.01    13.64   -29.70      -9.72    13.68   -29.80     0.307
  -14.49   -26.14    -7.09     -14.46   -26.18    -7.08     0.049
   18.46     6.56   -25.77      18.17     6.58   -26.14     0.473
  -24.75   -36.21   -17.47     -24.67   -34.41   -17.99     1.874
  -28.39   -37.12   -26.81     -27.98   -34.80   -26.72     2.355
   -6.97   -26.79    -7.75      -6.86   -25.88    -8.43     1.143
   -6.99    -0.41    49.73      -4.67    -0.19    50.05     2.354
   -3.24    12.72     9.71      -3.65    13.06     9.51     0.566
   -4.99     3.29    36.42      -3.56     3.39    36.39     1.435
   36.39     9.63   -10.20      37.42     9.47   -10.27     1.040
  -30.75   -35.95   -31.23     -30.32   -34.14   -30.80     1.906
   -0.15    -8.53    33.21       0.12    -7.78    33.30     0.808
  -17.22   -15.87   -52.83     -17.07   -15.65   -51.36     1.488
   15.23    27.15    22.19      15.48    28.66    22.60     1.584
    8.58    25.16    30.54       8.63    25.47    30.64     0.330
   -6.03   -16.99   -41.64      -7.22   -17.16   -40.62     1.578
  -15.60    13.21   -35.08     -15.58    15.24   -36.09     2.267
    5.17   -10.41   -22.38       5.11   -10.22   -22.14     0.310
   30.09    20.66   -13.53      31.66    21.59   -13.24     1.848
   19.32    -7.23    14.49      18.76    -5.88    14.03     1.528
   19.08    -2.50   -26.40      19.03    -2.62   -26.61     0.240
    8.88    27.19    23.66       8.80    27.65    23.76     0.480
    5.07    -7.72    58.52       5.09    -7.53    57.70     0.838
   -5.37    -5.58    57.98      -4.06    -5.27    56.61     1.924
   14.87    15.15   -10.48      15.07    15.14   -10.43     0.206
   13.23    -3.63    46.31      14.22    -4.48    46.46     1.306
   27.81    -8.77   -23.78      27.53    -6.50   -22.82     2.476
  -16.98   -35.18   -37.04     -17.72   -32.73   -35.53     2.971
  -26.77    11.99   -33.50     -28.12    14.06   -34.50     2.664
  -22.33   -25.70    -6.94     -22.26   -25.88    -6.83     0.216
  -28.86    10.54   -35.79     -29.58    11.36   -36.48     1.296
  -35.56   -32.57   -29.99     -34.71   -31.44   -29.62     1.464
   17.62    18.41    38.96      19.33    18.59    39.32     1.762
    9.00     9.87    57.76       8.93     9.85    57.08     0.679
   23.37     6.53    21.88      24.10     6.15    22.15     0.870
  -12.27    22.93    37.21     -11.50    22.74    36.73     0.922
   -4.95     7.20    43.32      -3.74     7.20    43.42     1.210
   -7.10   -29.24   -36.75      -9.04   -28.00   -35.79     2.502
    6.48    19.05    52.11       6.69    18.04    51.88     1.058
   29.22     7.81    14.16      29.13     7.86    14.07     0.138
   14.50    -1.67   -23.05      14.20    -1.71   -24.12     1.107
   20.06    -6.74    13.74      19.28    -5.72    13.39     1.323
  -38.31   -19.28   -37.68     -38.78   -19.44   -37.87     0.540
    2.88    16.29    56.33       3.13    15.78    56.18     0.583
    2.38   -16.73   -23.58       1.37   -16.63   -22.87     1.239
   14.79    12.13    54.75      15.13    12.26    56.05     1.350
   13.85    24.07   -30.11      12.78    23.68   -30.29     1.149
  -24.83     0.46   -47.85     -24.93     1.11   -48.82     1.168
    9.27    21.41    38.37       9.77    22.29    38.68     1.066
  -43.67    -7.47   -18.76     -44.27    -7.38   -18.76     0.609
   36.44     5.33   -12.95      36.99     5.65   -13.06     0.644
   18.05    -1.60    30.33      18.31    -1.82    30.37     0.351
    5.77    21.66    41.92       5.95    22.20    42.09     0.593
    3.76   -10.02    56.56       3.77   -10.04    56.60     0.042
   10.47    22.02    40.67      10.47    22.18    40.70     0.166
  -27.45   -31.74   -41.01     -27.02   -29.67   -40.15     2.287
   12.34    19.60    -3.19      12.34    19.60    -3.19     0.005
   -0.26   -26.68   -32.04      -1.04   -25.06   -30.56     2.323
   36.76     0.09   -10.09      35.82     0.67    -9.91     1.112
   11.13    -7.20    30.69      11.07    -7.10    30.67     0.116
   16.84     8.90   -21.00      15.43     9.52   -21.40     1.594
   -9.62    22.51    39.29      -9.63    22.51    39.28     0.008
   14.87    -2.02    45.22      15.71    -2.75    45.19     1.114
    3.22   -25.25   -15.18       2.48   -24.32   -15.21     1.195
   33.62    12.92    -2.37      34.62    13.37    -2.26     1.101
  -32.82   -31.05   -15.51     -32.60   -30.48   -15.90     0.717
   28.59    19.99   -20.80      29.65    20.68   -22.03     1.771
    3.14   -15.92     4.83       3.25   -14.51     4.40     1.480
   -0.48   -14.20     8.88       0.32   -12.44     8.24     2.025
   -0.17   -10.07    21.24       0.83    -8.99    21.26     1.478
   13.50    14.82    53.08      15.45    15.23    53.54     2.048
   15.71   -15.86     0.43      15.37   -14.78    -0.07     1.238
  -12.15    20.38    21.29     -11.56    20.85    22.07     1.079
  -22.67    10.08   -22.38     -22.55    11.73   -19.64     3.198
  -37.77   -18.92    -8.25     -38.05   -19.06    -8.12     0.340
   -8.97   -24.17    -8.09      -9.00   -24.27    -7.68     0.422
  -16.79   -36.33   -20.45     -17.25   -33.92   -20.69     2.463
   15.50    26.77    23.72      15.79    28.15    24.18     1.480
