150 PA5-A-Debug-Answer.txt 6
    -15.1458      4.5196    -16.7155    -31.0923   -101.0761     56.6546
    1.18    -9.43    50.76       1.33    -9.02    50.77     0.430
   -1.71     9.43   -18.52      -1.87     8.08   -17.89     1.502
    3.01    23.60    40.23       3.15    24.00    40.40     0.457
  -22.88   -12.13    -5.28     -23.60   -12.43    -4.22     1.322
   -0.34     0.01   -25.30      -0.62    -0.21   -25.12     0.398
  -16.70   -29.99   -15.21     -16.23   -31.16   -14.56     1.422
   16.80     4.01   -28.99      17.41     4.16   -28.73     0.681
  -27.10   -22.55    -7.80     -27.55   -22.71    -6.59     1.295
  -27.25   -22.74    -7.88     -27.54   -23.24    -6.72     1.293
   -7.60    31.52    27.81      -7.58    31.77    27.89     0.261
  -22.78     5.28   -16.30     -22.95     5.66   -16.08     0.473
    4.00    21.28    47.24       4.00    21.48    47.31     0.216
    4.75    28.22    24.30       4.91    28.59    24.40     0.409
  -15.62     1.15   -44.74     -16.15     0.58   -44.08     1.031
   -6.75   -26.88   -17.78      -5.40   -27.52   -17.32     1.563
   31.78    -8.59    -2.30      32.18    -8.84    -2.24     0.473
   -3.40    -4.37   -30.91      -3.00    -4.35   -30.99     0.409
  -20.47    12.06   -28.35     -20.41    11.49   -28.32     0.581
    0.30    -9.34    43.93       0.68    -8.50    43.95     0.925
   31.14   -11.68   -14.10      31.70   -12.00   -14.01     0.649
   32.78    15.62   -14.13      32.76    15.60   -14.12     0.026
    6.22    22.77    -4.81       6.97    22.17    -4.26     1.110
  -29.77     5.83   -19.94     -29.99     5.97   -18.12     1.831
   17.94    -3.79    41.18      18.86    -5.03    41.09     1.553
   12.54    -2.83   -25.32      13.18    -2.94   -23.86     1.590
   28.97    20.30   -20.49      28.67    20.09   -20.43     0.374
   18.70    21.36    25.57      19.15    22.08    25.89     0.915
   -1.93   -13.52     6.76      -1.88   -13.16     6.69     0.367
   34.93    -4.78     1.30      34.82    -4.69     1.31     0.148
   17.43   -10.20     2.93      17.35   -10.01     2.84     0.227
  -29.37     0.25   -42.71     -28.59    -0.62   -41.49     1.685
    0.45    -9.43    48.04       0.80    -8.68    48.08     0.825
    2.91    -9.22    48.01       2.90    -8.94    48.04     0.288
   -3.93    -4.52   -35.72      -2.77    -4.28   -35.46     1.221
  -15.80   -24.74    -9.66     -15.32   -25.65    -8.36     1.661
   14.98   -14.55    -6.03      15.54   -14.85    -5.66     0.739
   37.60     3.70    -9.42      37.98     3.76    -9.51     0.393
  -10.18    -5.64   -46.09     -10.58    -6.04   -45.40     0.898
    4.16    23.00    41.32       4.19    23.27    41.39     0.277
   -5.96    -6.32    35.58      -5.37    -5.46    34.73     1.347
   10.38     4.45    59.25      10.29     4.93    61.95     2.745
  -22.23   -11.12   -49.02     -22.30   -11.31   -48.01     1.026
   20.77    26.12   -10.95      20.76    26.10   -10.94     0.022
  -12.40   -21.21   -10.64     -11.37   -21.78    -9.03     1.991
   20.89     7.87    54.90      23.25     7.72    55.12     2.376
   -7.49   -24.43   -40.38      -7.59   -24.36   -40.30     0.149
   -6.20    19.81     9.29      -4.70    18.88    10.74     2.286
   17.70    17.70   -32.16      17.27    16.80   -30.41     2.019
   13.99    28.64    -2.96      13.98    28.35    -2.89     0.291
   -5.94    -2.91    59.35      -5.28    -2.81    59.20     0.678
   29.20    19.58   -21.90      28.75    19.34   -21.76     0.525
   -4.52    -3.41   -41.69      -5.11    -3.59   -40.98     0.940
   10.74    22.62   -20.54      10.08    23.01   -20.47     0.773
   34.19    11.30   -19.00      33.85    11.30   -18.90     0.358
   -4.98     5.45   -25.89      -5.18     5.29   -25.79     0.268
   -5.19   -18.88   -42.06      -5.46   -18.82   -41.79     0.378
    2.33    23.05    42.21       2.46    23.48    42.38     0.478
  -28.17   -22.51    -8.04     -28.57   -22.65    -6.96     1.155
  -10.06    17.88    26.77     -10.16    17.78    26.80     0.139
  -37.43    -9.15   -41.26     -36.61    -9.93   -39.45     2.127
   36.17    -4.60    -3.76      35.85    -4.28    -3.79     0.455
   18.08    26.99     7.82      18.21    27.45     7.87     0.476
   -7.48     1.43    40.14      -5.44     1.58    39.89     2.056
  -27.91    -8.14    -8.14     -28.23    -7.79    -7.17     1.085
  -43.27   -10.22   -18.39     -42.93   -10.30   -18.54     0.384
   16.37   -12.63   -21.22      16.81   -12.00   -20.25     1.236
   -0.85   -18.13   -35.17      -0.54   -18.27   -35.28     0.358
  -14.94   -33.05   -23.25     -14.83   -33.82   -23.20     0.786
  -17.20     9.50   -23.79     -17.04    10.47   -22.99     1.273
    4.19    29.30    20.55       4.21    29.34    20.56     0.040
  -39.92   -20.99   -18.24     -39.80   -20.93   -18.27     0.137
  -25.82    -9.00    -6.16     -25.95    -8.95    -5.99     0.218
    5.63    25.54     0.38       6.55    24.67     0.97     1.392
  -10.69     3.73   -39.52     -10.97     3.19   -39.09     0.744
    5.54    -9.42   -23.92       5.37    -9.15   -22.94     1.030
  -25.36    10.99   -25.54     -25.32    10.73   -25.55     0.263
    5.46    11.72   -13.92       5.55    10.52   -13.10     1.452
  -11.28    -0.20    17.77      -9.64    -0.37    17.49     1.671
   -5.41   -25.66   -19.77      -4.13   -26.37   -19.33     1.521
   28.95    -9.25     7.97      29.09    -9.54     8.04     0.332
    7.12    -5.33   -23.94       6.59    -5.31   -22.47     1.556
   -4.42    -8.62    57.78      -2.90    -7.21    57.77     2.069
  -13.42    25.92    18.45     -12.03    25.86    19.17     1.566
   -8.31    30.58    13.38      -7.02    29.63    15.40     2.584
   -6.65   -17.36    -8.85      -6.36   -17.79    -8.42     0.672
   -6.89   -15.67   -44.48      -7.39   -15.55   -43.87     0.799
   11.30    24.59   -14.82      11.30    24.57   -14.82     0.017
   -2.92    -7.99   -37.30      -2.43    -7.93   -37.34     0.497
   -3.77     9.92   -17.24      -4.07     8.89   -16.76     1.185
   10.97    -9.32   -23.34      10.77    -9.34   -22.01     1.349
   -7.12    -4.57    48.63      -4.51    -3.40    49.40     2.959
   22.82     8.75    43.10      24.79     8.65    43.44     1.999
   20.96     7.54    54.17      23.30     7.39    54.39     2.347
  -15.53   -12.49   -49.57     -15.12   -12.28   -48.14     1.503
  -13.53   -18.28   -47.61     -13.80   -17.85   -46.75     0.998
   36.86     1.98   -12.14      36.69     2.00   -12.00     0.219
  -21.84   -13.22   -48.94     -21.29   -12.68   -47.84     1.350
   -9.72    -8.84    15.61      -8.65    -8.23    15.50     1.231
   29.95    20.19     0.16      30.14    20.32     0.16     0.234
   -4.46   -22.61   -18.19      -3.09   -23.61   -17.47     1.841
   32.09    -7.94    -7.80      32.03    -7.88    -7.81     0.086
   21.26    11.45    48.39      23.17    12.17    48.63     2.059
   11.76    -7.11    52.43      11.93    -7.74    52.37     0.654
   -3.12     3.87   -25.24      -3.50     3.57   -25.07     0.509
  -21.39    11.09   -33.63     -21.33    10.32   -33.27     0.848
  -35.92   -12.88   -42.79     -34.53   -12.95   -41.58     1.845
  -31.70     5.23   -36.18     -31.06     4.08   -35.55     1.454
   -8.02   -24.94   -40.45      -8.13   -24.85   -40.36     0.169
   37.48    -0.15     8.27      38.14    -0.46     8.52     0.770
   13.47    24.89   -29.87      13.58    23.68   -28.83     1.599
  -37.85   -23.70   -34.43     -37.28   -23.02   -33.39     1.368
  -26.56   -32.77   -31.70     -26.44   -32.30   -31.47     0.538
   32.07     8.67    15.06      33.23     8.75    15.50     1.241
   16.75    18.46    44.55      17.52    19.46    44.72     1.277
  -29.52    -2.02   -44.17     -28.76    -2.87   -42.97     1.656
   13.58    19.10    51.84      13.82    20.04    52.12     1.007
  -10.60   -21.25   -45.85     -10.69   -20.19   -45.84     1.063
  -23.84   -22.75    -7.70     -24.02   -23.41    -6.14     1.708
  -21.60   -13.03    -5.60     -21.87   -13.68    -4.31     1.469
   11.86    -7.56    32.45      11.82    -7.39    32.45     0.172
