150 PA5-A-Debug-Answer.txt 6
   -133.4097   -148.9246    -68.7004    -42.7295     48.0594    -60.1169
   40.20     7.51   -11.56      42.31     7.89   -12.07     2.201
  -11.89     3.56   -41.32     -11.63     3.73   -41.48     0.350
   10.40    29.57    -0.68      10.67    29.27    -0.59     0.415
   39.95     0.78   -11.48      40.98     0.09   -11.40     1.242
   -7.46    -9.60    17.47      -5.14    -7.37    17.18     3.235
   15.42   -21.34    -1.53      15.70   -19.71    -1.85     1.682
   11.58   -20.18     0.23      11.72   -18.62     0.00     1.581
   33.31    -6.10    -7.59      34.17    -6.65    -7.87     1.061
  -10.87   -25.68    -8.80     -10.67   -26.12    -8.60     0.520
  -33.65     7.17   -37.48     -33.64     7.01   -37.32     0.224
   17.43    18.10    34.84      19.94    19.22    35.91     2.946
  -35.57   -30.33   -18.75     -34.95   -29.50   -18.96     1.049
   17.53    23.21   -34.74      17.48    23.21   -34.61     0.140
   -9.35    10.37     1.38      -9.35    10.35     1.40     0.026
   19.58   -13.93   -15.57      19.64   -14.05   -15.70     0.189
  -21.84   -18.23    -3.56     -21.99   -18.51    -2.25     1.343
  -21.95    15.09   -24.59     -22.61    16.86   -24.47     1.891
    6.69    26.72    14.15       6.68    26.73    14.17     0.026
   31.25    -8.25    -6.56      31.96    -9.15    -6.86     1.188
  -26.59     1.38   -45.83     -26.33     0.95   -45.18     0.827
   11.28    22.18    40.09      11.24    22.28    40.10     0.104
  -19.81    15.60    25.47     -18.51    15.26    25.43     1.345
    1.90   -11.70    29.01       1.87   -11.13    28.96     0.569
  -23.39   -20.99   -47.41     -23.07   -19.99   -45.72     1.987
  -42.22   -11.82   -25.03     -41.32   -11.93   -25.17     0.917
    8.56    21.11    51.84       8.79    20.15    51.33     1.115
    9.27    -0.27    50.74      10.40    -0.31    52.95     2.476
   25.74   -14.99     0.30      26.22   -15.32     0.73     0.716
  -11.88     9.80    45.80      -8.39     8.68    46.07     3.676
   -7.66    22.40    32.22      -7.75    22.81    32.31     0.429
  -18.39    16.77    17.73     -17.62    17.03    18.77     1.323
   -9.95    18.16    12.75      -9.38    17.79    14.63     2.000
  -15.46    13.79   -23.92     -14.66    15.93   -24.24     2.306
  -16.29    18.37    16.67     -15.80    17.55    17.99     1.632
  -42.79   -14.59   -13.03     -41.41   -14.31   -12.91     1.413
  -21.97    12.08   -34.01     -21.85    12.64   -34.45     0.724
   21.64   -18.60     1.19      21.69   -18.82     1.34     0.276
    9.17     8.53    52.24      10.01     9.43    53.78     1.968
   18.47    -4.73    25.99      19.81    -6.16    26.26     1.976
  -28.84   -15.28   -48.46     -28.08   -14.77   -46.83     1.868
   18.16     8.26    41.27      22.08     8.32    41.96     3.985
    7.75    22.19    32.83       7.73    22.43    32.91     0.257
   14.97    24.57   -18.11      15.11    24.61   -18.10     0.151
  -35.90     9.96   -27.05     -36.11    10.04   -27.11     0.225
  -37.08     8.27   -17.81     -37.72     9.36   -17.56     1.294
    0.20   -24.06   -24.98       0.27   -24.44   -25.15     0.423
  -12.34     5.50    33.91     -11.18     7.59    33.49     2.434
   -8.06     1.23   -37.68      -7.86     1.35   -37.75     0.241
   -1.30   -21.99   -31.57      -1.60   -21.39   -31.05     0.849
    7.43   -11.83    25.01       7.39   -11.43    24.96     0.408
  -10.12    22.39    24.41     -10.12    22.67    24.35     0.289
  -25.21   -32.09   -34.55     -24.96   -30.50   -33.99     1.704
   38.16    12.69   -16.06      40.06    13.09   -16.83     2.093
   35.70    19.51    -9.88      36.94    20.73    -9.69     1.744
  -17.97    -5.63   -49.40     -18.40    -5.52   -48.31     1.176
  -28.78   -11.31   -49.29     -28.03   -11.27   -47.42     2.019
  -20.21   -28.40    -7.96     -20.21   -28.48    -7.90     0.100
   30.08    19.36    13.84      31.14    20.08    14.92     1.671
   30.74     7.27   -30.69      31.13     7.43   -31.29     0.730
  -28.65     3.33   -10.77     -29.67     4.15    -8.31     2.787
   32.61     0.45    13.76      32.87     0.28    14.27     0.596
  -10.61   -11.44   -47.21     -10.96   -11.20   -45.64     1.627
  -16.20    10.70   -36.57     -16.27    10.78   -36.62     0.117
   -7.76    19.25    12.93      -7.44    18.96    14.35     1.484
  -18.77    18.53    20.91     -17.72    17.70    21.07     1.351
  -14.24    16.19    14.93     -13.65    16.07    16.67     1.840
   -0.34   -18.83   -32.38      -0.24   -19.00   -32.69     0.369
    0.10    19.41    44.95       0.27    19.05    44.88     0.402
  -28.49     1.94    -9.57     -28.75     3.09    -7.57     2.318
    8.96    -8.16    44.82       9.42   -10.09    44.82     1.988
   10.42    23.42    26.53      10.64    24.63    27.29     1.448
