400 PA5-A-Debug-Answer.txt 6
    150.8843    179.1563     61.2916     91.1391    -76.3483   -111.5478
   14.26     1.92    67.78      13.12    -2.25    67.59     4.327
    8.36    -0.02   -22.83       8.32    -0.87   -22.36     0.970
  -28.88   -24.44   -48.61     -27.71   -22.50   -46.83     2.882
   -8.70     3.60    47.46      -5.97     6.52    47.17     4.009
  -33.34    -9.50   -14.66     -33.71    -9.68   -14.46     0.460
   -7.77     9.14    71.09      -7.28     8.89    71.10     0.541
  -15.54   -20.74   -14.12     -15.28   -21.19   -13.80     0.606
   25.39   -13.81   -25.72      25.16   -11.51   -25.89     2.321
    7.45   -15.08   -24.85       8.96   -15.55   -25.55     1.729
   12.74    12.83   -29.07      12.90    12.02   -27.32     1.935
  -43.86    -4.01   -32.56     -42.55    -4.52   -32.88     1.440
   -9.71    14.94    46.34      -4.85    12.16    45.97     5.612
   30.59     9.47    -0.67      32.88    13.27    -0.57     4.439
    4.29    19.88     6.68       5.49    17.91     7.22     2.373
   22.19    -5.54    12.64      22.22    -3.98    12.44     1.577
    7.33    21.90    59.23       8.45    19.71    59.25     2.463
  -26.87   -30.80   -42.42     -26.18   -28.63   -41.37     2.509
   12.18    -3.69    46.96      13.72    -0.19    47.25     3.834
  -29.82     7.28   -22.69     -31.19     7.90   -21.50     1.918
   -8.45     8.66    -1.57      -7.69     7.67    -0.79     1.467
  -27.49   -33.21   -27.40     -26.55   -31.04   -27.29     2.361
   15.31    18.20    17.97      14.45    20.61    18.79     2.693
   17.82    11.08    68.42      23.06    12.51    68.48     5.432
  -25.13     4.61   -45.47     -25.32     5.32   -46.30     1.108
   -4.07    12.74     2.64      -3.82    11.69     3.06     1.159
   13.54    -5.91    15.12      13.60    -4.60    14.42     1.489
  -10.44   -22.44   -18.67     -10.45   -24.79   -17.47     2.637
  -17.44     7.15   -22.38     -16.96    11.88   -22.73     4.766
  -20.82    13.55    24.94     -20.00    14.06    24.98     0.962
   -9.87    20.60    21.38      -9.99    22.70    19.88     2.588
  -17.47   -22.08   -50.57     -17.49   -21.85   -50.30     0.358
    2.09     9.68   -10.53       2.31     7.97    -8.85     2.405
   10.03    -9.67   -32.09       6.41   -11.06   -28.27     5.440
    7.99     8.53    70.59       8.49     9.64    73.00     2.703
  -32.04   -31.71   -30.15     -30.38   -29.28   -30.26     2.937
  -41.77   -19.34   -24.23     -38.78   -17.86   -25.68     3.638
    8.04    -2.71    64.56       9.03    -0.67    64.78     2.284
    4.85   -14.63    -7.95       4.88   -14.78    -7.87     0.173
   -1.06    -2.07    38.23      -0.46    -2.55    36.98     1.464
   21.04     3.89    29.53      19.78    -1.28    29.91     5.337
   33.48     4.40    -4.71      36.24     3.45    -4.99     2.935
   16.88     0.51   -31.56      16.04    -3.82   -29.55     4.853
  -15.88    13.40    20.24     -18.06    11.60    19.99     2.836
  -13.85    16.58    19.46     -14.87    17.14    17.40     2.366
  -36.81     1.03   -42.25     -36.75     0.90   -42.14     0.181
  -46.39   -19.33   -39.11     -43.17   -16.91   -39.33     4.037
   -0.62    -7.04   -28.02       1.36    -5.38   -29.09     2.795
   16.18    19.63    -0.86      15.52    21.78    -1.12     2.274
   10.77    20.68    -3.52      11.19    20.09    -3.55     0.726
  -13.15   -28.97   -23.91     -12.72   -29.33   -23.65     0.622
   11.12    17.49   -26.06      10.83    16.04   -24.50     2.149
   -0.93    13.57    -2.61      -0.12    11.04    -1.79     2.776
   14.44    12.86   -27.99      14.60    12.77   -27.41     0.606
   -3.25   -17.80   -31.60       0.60   -21.69   -32.56     5.560
  -32.96    -9.86   -51.09     -32.44    -9.96   -50.22     1.022
    1.38    17.99     3.01       4.11    16.04     3.42     3.380
  -32.80     0.59   -17.75     -33.47     1.10   -17.42     0.897
   30.24     1.56   -18.80      34.93     1.29   -18.66     4.700
    1.50     7.14   -12.13       1.15     6.18   -11.88     1.059
  -11.67   -13.70   -51.04     -11.72   -13.68   -50.98     0.087
   30.35     9.66    -2.76      31.65    13.17    -3.69     3.855
  -29.74   -18.44   -51.28     -28.95   -17.22   -49.87     2.026
  -19.78   -24.86   -15.74     -19.78   -24.87   -15.72     0.015
   -8.88    -2.19    31.45      -5.25     2.80    30.82     6.202
   -5.33    15.36     9.11      -4.96    14.42     9.77     1.205
   30.66     2.39   -18.35      34.92     1.23   -18.43     4.418
   -8.77     6.40    49.83      -6.18     7.63    49.33     2.905
  -35.56     4.72   -25.41     -35.23     4.52   -25.61     0.432
   13.93    -5.95    15.45      13.87    -4.46    14.70     1.667
   10.70    20.37     7.36      10.59    20.52     7.37     0.180
  -15.46    -5.13     2.48     -13.28    -2.81     1.02     3.499
   -5.58     2.08    54.39      -4.66     5.85    54.24     3.884
   11.73    -8.49     4.28      11.67    -9.42     4.63     0.993
  -29.16   -17.71   -50.96     -28.72   -17.03   -50.17     1.139
   23.90    -7.58   -31.74      23.70    -8.34   -31.25     0.924
   -3.51    19.90    50.38      -0.40    17.12    48.64     4.520
    7.83    -2.93   -23.63       8.10    -2.69   -24.15     0.635
   -4.70    21.27    27.94      -3.51    23.52    28.35     2.567
   -9.61     8.92    67.99      -7.29     8.76    68.38     2.350
  -30.08   -20.08   -50.98     -28.68   -18.95   -48.81     2.815
   26.00     4.29    10.08      29.86     7.19    12.03     5.204
   -2.56    12.83     0.07      -2.18    11.09     0.53     1.834
    3.68    -3.80    23.16       3.07    -5.39    23.12     1.700
   12.46    21.95    54.00      12.19    21.44    53.99     0.583
    2.26    -5.38   -25.21       2.82    -4.34   -26.73     1.920
   13.61    -0.11    63.97      13.15    -2.02    63.83     1.973
   15.02    -3.08   -30.28      15.52    -3.92   -29.47     1.268
   10.14     6.78   -31.14      11.47    10.24   -28.02     4.844
  -11.37    -8.53    -0.00     -10.86    -7.10    -0.77     1.705
  -37.09   -19.53   -17.33     -34.02   -19.22   -19.32     3.681
   -9.45     8.68    69.98      -7.36     8.70    69.88     2.093
   15.36    -0.65    50.35      15.28    -1.01    50.31     0.375
   22.96    11.50   -20.13      24.70    13.10   -21.92     2.957
  -21.63   -32.10   -22.70     -21.54   -31.62   -22.83     0.509
  -22.37    -9.99    -7.80     -21.95   -10.10    -8.41     0.746
   -8.49     6.25    64.48      -6.07     6.53    64.10     2.469
  -44.58    -3.11   -36.81     -43.58    -3.93   -37.25     1.372
   -5.48   -11.21    -3.52      -5.87   -11.70    -2.76     0.984
   19.05    11.85    48.16      22.06    14.54    48.03     4.044
   14.93    19.87    58.60      14.97    19.92    58.60     0.062
    0.21    14.77    -5.29       1.55    11.00    -2.95     4.643
   -0.89    12.35    70.46      -1.21    12.66    71.85     1.457
   13.41    18.44    17.07      13.31    20.59    17.60     2.216
    9.55   -18.03   -15.04       8.83   -16.85   -15.54     1.469
  -24.61   -26.38   -15.55     -24.49   -25.57   -16.54     1.283
   -6.50    19.52    46.47      -3.18    17.39    44.08     4.613
  -18.66    16.51    39.12     -16.23    18.46    33.91     6.067
   21.51    16.82     2.26      23.53    20.77     2.20     4.441
  -38.19    -3.20   -18.98     -36.67    -3.63   -19.85     1.804
   23.81    14.39    -6.76      26.42    17.46    -7.39     4.083
  -17.91     2.40   -13.16     -18.42     2.86   -12.78     0.789
  -42.78    -1.46   -32.01     -41.40    -2.68   -32.18     1.852
  -15.51     7.70   -32.16     -14.06    12.06   -32.58     4.616
  -40.71    -5.53   -21.77     -38.99    -6.04   -22.69     2.018
   18.32    17.89   -11.31      18.41    21.00   -11.36     3.114
   26.69    -2.77   -29.89      26.96    -2.75   -29.49     0.487
   19.98     8.29    39.70      23.66    11.99    39.60     5.221
  -36.12   -17.56   -15.38     -33.55   -16.18   -17.05     3.367
  -33.69   -26.41   -19.67     -31.05   -25.38   -20.54     2.967
  -33.51     0.48   -17.75     -33.83     0.73   -17.59     0.435
    0.32    12.99    -6.73       1.47     9.85    -4.74     3.892
   18.36    12.04    58.33      21.95    15.24    58.28     4.808
   17.88    10.07    64.41      23.47    12.25    65.07     6.036
   20.70    -6.20    13.36      20.87    -3.85    13.05     2.371
   15.79    -2.51    36.96      16.22    -0.42    37.00     2.135
   -1.42    -6.92    19.59       0.75    -4.60    19.55     3.172
  -28.42   -15.18   -51.56     -27.96   -15.41   -50.61     1.088
    7.11   -12.56   -26.61       7.50   -12.60   -26.85     0.465
   18.77    17.27   -18.30      18.20    17.80   -20.44     2.276
   -2.71   -18.24   -14.26      -2.00   -20.07   -12.82     2.427
   -8.99     3.76    41.21      -6.62     6.34    40.86     3.515
  -40.65   -21.73   -24.32     -38.16   -19.17   -25.83     3.870
    0.53    19.97    25.03       1.04    21.99    24.70     2.106
   32.15    -3.03    -1.39      31.73    -4.71    -0.80     1.827
    5.12    14.21    69.50       4.65    14.64    72.40     2.966
    0.75    -9.48    10.16       2.30    -5.95     9.48     3.918
  -43.41    -5.38   -28.10     -41.80    -5.87   -28.85     1.842
   23.33     4.58    18.87      27.53     7.70    19.56     5.275
   -4.96     1.24    53.63      -3.51     5.40    53.10     4.443
    6.17     6.53    70.62       6.07     5.88    73.13     2.593
    1.41     5.73   -12.94       1.40     5.70   -12.92     0.041
  -38.97    -4.33   -19.83     -37.47    -4.75   -20.69     1.783
  -28.81     7.81   -24.22     -31.15     9.45   -23.17     3.046
   -0.11    -2.86   -25.62       0.81    -2.04   -25.83     1.254
    5.68     8.55    69.37       5.15     8.31    72.93     3.607
   27.32    -0.56   -26.06      25.55    -0.90   -28.65     3.151
   -7.93   -24.43   -42.36      -8.34   -24.06   -42.00     0.661
   11.36    10.27    71.32      12.79    10.06    71.89     1.548
   11.68    -2.22   -27.53      12.81    -3.39   -25.66     2.486
  -19.23   -23.14   -50.46     -19.26   -22.58   -49.78     0.883
  -15.72   -20.51   -14.11     -15.37   -21.14   -13.66     0.849
   23.75    -5.08    11.37      23.76    -4.16    11.24     0.926
  -11.49   -28.46   -41.94     -11.75   -27.76   -41.58     0.821
   -6.25    21.19    31.09      -4.89    23.71    31.36     2.870
   -7.14   -24.78   -39.10      -7.06   -24.93   -39.17     0.187
  -22.89   -15.04   -53.86     -22.47   -14.85   -52.48     1.454
   17.12     5.09    63.16      17.19    -2.41    62.11     7.580
  -41.42   -17.90   -21.63     -38.34   -16.12   -23.34     3.938
   16.44   -12.62    -9.33      17.12   -14.51    -8.91     2.050
  -29.40   -31.28   -23.48     -29.05   -30.10   -23.78     1.261
   -8.50    -4.92    18.21      -5.98    -1.22    15.86     5.059
    2.99   -13.33   -26.69       6.19   -13.66   -28.74     3.815
    6.54    19.24    16.73       6.55    20.15    16.64     0.913
   -3.60     3.13   -19.13      -1.66     5.11   -20.23     2.986
   11.28    14.00   -27.66      11.38    13.95   -26.45     1.216
  -40.43    -6.30   -21.30     -38.71    -6.16   -22.15     1.928
  -31.65   -29.81   -41.15     -30.18   -27.98   -39.73     2.741
  -20.76    12.04    25.70     -19.34    12.92    25.77     1.677
  -31.45    -8.08   -14.29     -31.61    -7.81   -13.95     0.465
   -7.95    14.03    64.82      -5.27    10.76    64.83     4.228
  -34.72   -13.86   -12.82     -32.45   -13.68   -14.34     2.734
  -31.64   -25.68   -17.03     -30.77   -23.41   -18.05     2.636
    5.80    -5.05    16.52       5.69    -6.34    16.60     1.294
    4.65    -3.66    22.48       3.88    -5.68    22.44     2.163
  -14.95   -28.35   -20.79     -14.41   -28.62   -20.28     0.788
  -47.51    -8.18   -37.66     -45.65    -7.98   -38.94     2.265
   -3.74   -13.43   -38.64      -2.15   -12.83   -42.34     4.080
   21.77     1.55    25.79      20.61    -1.89    26.09     3.642
   -4.97    -7.93    19.98      -1.25    -2.89    19.50     6.276
   -9.55   -15.30   -10.16      -9.39   -16.43    -9.08     1.569
  -17.54     8.29   -25.43     -18.34    12.07   -24.08     4.091
    7.58    -8.62   -28.28       6.66    -9.04   -27.21     1.471
   25.59    12.10     5.17      27.89    14.14     7.78     4.037
    7.18    -2.76    60.30       8.56     0.15    60.86     3.265
    3.31    11.00    70.84       2.80    11.49    73.03     2.296
   11.41     0.58    71.57      11.06     0.64    73.52     1.983
   -3.67   -16.26   -35.13       1.83   -16.45   -37.37     5.939
  -25.93   -30.02   -19.11     -25.61   -29.45   -19.23     0.673
   -7.69    19.95    18.56      -7.87    21.11    17.58     1.531
  -35.16   -13.51   -13.37     -32.87   -13.40   -14.93     2.767
  -47.19   -16.03   -37.78     -43.70   -14.99   -38.36     3.693
  -11.33   -10.14   -51.00     -11.31   -10.14   -51.05     0.052
   24.11    -2.86   -33.30      26.10     0.32   -30.59     4.634
   14.27    -4.27    28.83      15.76    -0.51    28.41     4.066
   -5.70    -9.86    -0.75      -5.64    -9.63    -0.99     0.331
   27.38    10.31   -12.12      30.67    12.23   -13.81     4.169
   15.74    16.79    34.38      18.49    18.31    34.80     3.165
  -21.41    -0.47   -50.23     -21.47    -0.41   -50.35     0.150
  -42.43   -20.67   -27.10     -38.96   -19.17   -27.95     3.872
  -34.66   -18.18   -48.40     -33.34   -16.88   -46.89     2.394
   20.33    18.01    -4.23      21.59    20.38    -4.63     2.709
  -21.93   -28.03   -16.64     -21.62   -28.01   -17.28     0.714
   30.76    -5.77     0.47      30.94    -4.33     0.38     1.449
   15.56    17.10    33.61      18.51    18.51    34.25     3.336
  -29.07   -13.47   -51.87     -29.26   -13.14   -50.53     1.395
   30.91     7.52    -8.41      32.48    11.65    -8.89     4.440
   -4.80    21.11    28.83      -3.60    23.40    29.25     2.614
   26.70     0.30    10.85      27.68    -3.19    11.58     3.701
    0.41   -13.62   -27.22       4.54   -12.45   -30.45     5.377
   -2.88   -12.67    -6.69      -2.93   -13.69    -5.99     1.243
  -46.81    -8.95   -40.15     -46.17    -9.24   -39.89     0.750
   -8.29    14.84    67.25      -4.99    11.01    67.29     5.054
   31.02    -1.77   -19.71      34.06    -1.98   -19.97     3.056
  -14.15     9.57    13.04     -14.73     9.53    12.91     0.596
   20.87    11.22    14.22      24.57    12.66    15.17     4.088
  -17.15     5.18   -45.36     -17.97     6.92   -47.17     2.637
  -14.85   -28.27   -44.50     -15.02   -27.38   -44.03     1.023
   -9.05   -24.62   -23.58      -8.72   -26.99   -22.38     2.667
   22.63    15.92     1.34      24.94    20.00     1.31     4.691
   -9.76     6.91    36.18      -7.60     7.12    35.63     2.237
   -4.62    20.61    21.59      -3.70    22.90    21.01     2.528
   10.63    19.42    11.49      10.31    20.53    11.41     1.163
   -3.75     1.01   -26.08      -1.60     1.22   -26.70     2.243
    3.28    14.40    69.85       3.04    15.06    72.11     2.358
   12.46    -7.58     6.27      12.44    -8.70     6.65     1.178
    1.20   -18.18   -22.50       2.62   -21.59   -22.61     3.697
    5.58    -1.36    71.58       6.43     0.00    71.77     1.617
   -3.72   -15.63   -38.91      -3.62   -16.70   -42.26     3.514
   17.02     4.51    60.45      16.82    -2.07    59.63     6.631
  -12.35   -22.61   -16.09     -12.46   -23.41   -15.43     1.041
  -33.21   -30.59   -27.34     -30.79   -28.56   -27.52     3.163
   -3.65    -8.94    13.25      -1.43    -3.95    12.88     5.477
  -27.60   -17.60   -51.61     -27.33   -17.31   -50.67     1.018
  -46.30    -7.02   -39.75     -45.74    -7.54   -39.01     1.062
   28.24    -8.67   -11.64      28.25    -8.73   -11.63     0.060
  -22.36   -18.77    -9.51     -21.98   -18.32    -9.89     0.698
   -6.06   -13.50    -7.54      -6.10   -14.50    -7.05     1.112
    0.63   -16.84   -13.07       1.08   -18.15   -11.89     1.817
  -18.56    -1.67   -51.23     -18.76    -1.78   -51.69     0.519
  -18.00    14.36    39.39     -16.49    16.93    33.21     6.859
   12.94    -5.60   -28.90      14.03    -4.27   -27.70     2.102
    3.15    20.37     8.93       3.27    18.72    10.26     2.126
   12.05   -12.30    -5.30      12.00   -12.85    -4.96     0.646
  -11.43     4.53   -38.08      -7.72     7.90   -39.45     5.193
   10.55     1.18    71.97      10.48     1.37    73.39     1.442
   19.78     6.05    41.61      24.97    10.62    41.47     6.913
   -5.96     2.62    59.29      -5.41     6.21    59.12     3.637
  -46.40   -15.58   -34.02     -42.90   -15.34   -34.86     3.615
  -11.06    -7.90   -49.82     -10.68    -7.90   -50.76     1.008
    4.40    20.63    41.92       4.59    19.15    41.82     1.493
  -35.05   -26.26   -20.58     -31.62   -24.92   -21.71     3.861
   19.75     4.25    40.24      19.11    -0.73    39.58     5.055
   12.09   -10.12   -32.95      17.27    -5.77   -30.38     7.238
  -32.84    -1.53   -16.58     -33.99    -1.32   -16.02     1.300
   -7.41   -24.70   -37.40      -6.94   -25.50   -37.69     0.981
   -7.25    15.63    67.89      -4.17    11.72    67.65     4.983
   17.02    18.10   -15.00      17.01    21.12   -14.93     3.022
  -32.84    -8.51   -14.79     -33.04    -8.02   -14.33     0.705
  -32.91   -27.82   -20.25     -30.95   -25.95   -20.91     2.790
   -9.75    -3.71    15.20      -7.87    -1.20    13.78     3.437
  -32.28   -30.27   -23.19     -30.09   -28.85   -23.97     2.728
   13.30    20.92    65.04      13.34    20.98    65.04     0.077
   20.90     7.84    31.14      24.49    11.24    31.03     4.951
   32.49     6.83    -4.05      35.15    10.80    -4.14     4.788
   -4.87     8.91    -6.10      -4.51     6.92    -6.32     2.036
   -1.83    -7.04   -29.01       1.38    -5.45   -29.30     3.591
  -32.62   -25.92   -18.42     -30.73   -25.21   -20.10     2.624
    5.68     0.83    71.02       5.57     0.65    71.00     0.217
    4.97    -0.70    71.28       5.72     0.50    71.45     1.417
  -13.88     4.77     0.05     -12.54     2.29    -0.06     2.813
   -6.33   -11.83   -45.29      -5.92   -11.88   -45.73     0.609
  -36.47     3.88   -37.45     -36.57     3.97   -37.48     0.134
  -40.19   -14.65   -45.96     -39.24   -15.98   -44.78     2.011
  -18.66   -24.01   -15.00     -18.68   -23.97   -15.03     0.047
  -36.53   -27.59   -37.64     -33.87   -25.18   -37.38     3.594
  -16.82     7.17   -37.13     -16.21    12.02   -37.54     4.904
   -9.47     8.05    63.28      -6.44     9.11    63.60     3.223
   20.07    10.34    29.92      22.85    12.94    29.81     3.811
   -9.07   -23.90   -45.04      -9.67   -23.37   -44.60     0.912
