400 PA5-A-Debug-Answer.txt 6
      9.8945   -128.5720    -51.4565   -144.2153     15.1800   -126.5073
  -44.90    -7.96   -10.28     -44.04    -7.97   -10.53     0.897
   -5.56    -7.91   -34.79      -5.98    -7.83   -34.37     0.597
   -8.81   -29.31   -30.03      -8.52   -29.48   -30.13     0.350
   11.12    25.40    -6.31      13.23    25.01    -3.75     3.333
    3.42    -9.85    34.21       3.49    -8.67    34.24     1.182
    6.49    -9.17    43.16       6.32    -8.55    43.17     0.638
  -42.31   -20.58   -35.27     -40.51   -19.37   -34.79     2.224
   16.25     6.35    44.66      17.28     6.39    44.84     1.041
    6.25   -20.44   -17.71       6.94   -20.55   -17.51     0.727
   -1.67    17.22    38.18      -1.72    17.67    38.45     0.529
   22.37    17.91   -35.69      22.92    19.22   -34.27     2.011
    0.97     3.12    58.81       1.76     3.68    60.66     2.089
   11.21    -6.90    36.69      10.81    -6.35    36.71     0.680
   15.82     3.22    47.99      16.63     3.10    48.02     0.822
   12.01    28.86     1.18      13.19    27.78     1.52     1.637
  -26.78   -10.18   -49.53     -26.54   -10.04   -48.59     0.986
   20.36     7.64   -30.14      21.77     6.61   -28.16     2.643
   28.14    20.50   -31.75      27.69    20.30   -31.18     0.754
  -17.19    18.12    28.91     -16.94    18.03    28.80     0.291
  -12.81    12.03    32.28     -12.74    12.12    32.20     0.141
   10.26    -6.72    36.68      10.26    -6.72    36.68     0.002
   25.09   -11.47    -5.46      26.71   -11.58    -4.51     1.885
  -44.08   -12.25   -22.09     -43.01   -12.40   -22.37     1.111
   38.03    10.95   -26.96      38.65    10.39   -27.79     1.181
   -5.29   -22.39    -4.74      -5.22   -21.97    -3.06     1.727
   13.65    24.77    18.38      13.58    25.47    18.53     0.716
  -34.83     5.28   -38.70     -34.85     5.36   -38.76     0.104
  -15.99    -3.14     1.58     -15.95    -3.13     1.50     0.087
  -32.77    11.52   -19.14     -32.86    11.68   -19.13     0.184
  -15.47    12.55   -37.64     -14.58    12.15   -36.79     1.292
   17.43    29.31   -16.90      18.27    28.54   -16.97     1.143
    1.98     7.03   -22.87       1.97     7.02   -22.85     0.025
    2.08   -10.64    55.30       2.23    -9.68    55.38     0.972
   17.68    19.37    33.47      19.41    19.80    33.53     1.783
  -14.37   -32.02   -34.69     -14.45   -30.63   -33.79     1.652
   32.72    23.57   -24.18      33.18    24.17   -24.44     0.802
   21.70    29.18     3.34      22.24    31.08     3.89     2.057
   -2.82    19.28     8.30      -2.67    18.53    10.12     1.975
   -5.75    22.27    30.96      -5.98    23.16    30.98     0.918
   11.08    14.71    52.35      12.66    15.26    53.11     1.835
   13.80    23.25    22.42      13.78    24.25    22.75     1.059
  -16.47   -19.21   -46.76     -16.76   -18.85   -46.01     0.879
    2.31    21.56    21.91       2.30    21.54    21.91     0.020
    7.16    21.19    26.56       7.05    21.39    26.60     0.228
   41.09     8.47   -10.91      42.64     8.51   -10.95     1.546
  -37.36   -29.60   -14.81     -36.47   -28.61   -15.13     1.378
   13.27    14.83    47.10      14.89    15.19    47.56     1.724
    0.55    -6.27   -29.56       0.69    -6.15   -29.78     0.284
   15.43    -7.36    13.56      16.12    -7.48    13.86     0.760
   -3.77    16.36     9.01      -2.83    17.29     9.68     1.484
    5.48    20.70    27.22       5.45    20.90    27.31     0.221
    5.68    12.60    -7.56       5.75    12.42    -7.55     0.196
   19.74    30.31   -23.11      19.78    30.27   -23.12     0.054
    3.19     5.48    60.86       1.74     3.73    61.00     2.278
   37.97    18.02   -21.95      38.48    18.43   -22.43     0.816
  -10.46     0.52    51.45      -9.25     0.86    51.46     1.265
   -8.12     7.66     2.14      -7.72     7.10     2.21     0.687
  -21.48   -34.47   -13.61     -21.52   -34.11   -13.67     0.361
  -17.35   -34.43   -30.30     -17.65   -33.61   -29.92     0.951
   -7.57    10.50    53.06      -6.76     9.78    53.18     1.093
   -4.86   -25.25   -30.14      -5.16   -25.01   -29.98     0.416
   16.44    18.36    37.37      18.14    18.19    37.94     1.805
   -8.57     8.66   -10.80      -8.77    10.26    -9.75     1.922
  -13.37   -33.08   -30.40     -13.48   -32.51   -30.31     0.590
   10.81    -9.14    19.17      11.46    -9.94    19.62     1.132
    8.64    -1.57    58.58      10.23    -2.87    61.24     3.358
  -45.27    -4.49   -13.14     -44.04    -4.34   -13.04     1.240
  -18.77   -24.46   -44.98     -19.06   -23.98   -44.28     0.895
    5.74   -20.39   -10.19       6.25   -21.47   -10.05     1.201
   11.41    27.91    -1.33      12.82    26.70    -1.24     1.860
   18.02    27.84   -34.29      18.74    27.06   -33.59     1.280
  -12.13     8.72    15.75     -10.72     9.98    16.90     2.212
   17.83    25.42   -36.72      19.16    25.02   -34.90     2.290
   -8.58   -22.95    -4.72      -8.61   -22.16    -3.50     1.459
    1.31   -19.50    -4.95       1.49   -19.98    -4.47     0.701
  -23.65   -13.04   -49.76     -23.68   -12.84   -48.88     0.902
  -14.54     8.98    28.12     -13.83     9.80    28.05     1.092
  -45.12   -13.00   -27.18     -43.81   -12.66   -27.27     1.347
   12.75    20.56    42.42      13.19    21.39    42.49     0.942
  -36.94     6.11   -36.57     -36.82     5.99   -36.51     0.178
  -23.15   -11.22    -1.46     -22.95   -10.72     0.08     1.630
   12.75    22.56    25.20      12.86    23.05    25.66     0.684
  -44.04    -9.37    -8.41     -43.40    -9.35    -8.64     0.679
   27.09     9.79   -35.05      27.36     9.95   -32.00     3.069
   19.37     3.00    26.76      20.50     2.46    27.00     1.279
   -9.70     5.45    58.24      -9.85     5.49    58.24     0.156
  -10.01     7.62    50.68      -9.05     6.86    50.63     1.225
   16.81    28.78   -16.34      18.00    28.31   -16.09     1.300
   35.40     4.87     5.32      36.56     4.33     6.14     1.515
    4.97    17.02    52.85       5.41    16.55    52.87     0.644
  -31.17    13.81   -28.25     -31.18    13.83   -28.25     0.017
    0.98    -1.48   -27.34       1.15    -1.32   -27.47     0.259
   36.68     4.95     3.94      37.54     4.32     4.75     1.337
   -4.22   -20.23   -34.60      -4.17   -20.25   -34.63     0.065
   -8.77   -18.81    -3.16      -8.72   -18.82    -3.06     0.109
   -9.63     0.74    58.98      -9.50     0.75    58.96     0.133
   -0.74    -3.27   -29.50      -0.35    -3.06   -29.84     0.557
  -35.69   -16.50   -45.67     -35.03   -15.62   -44.09     1.926
  -25.56    -4.10   -48.19     -25.59    -4.19   -47.84     0.355
    9.80    -6.41   -25.63       9.04    -6.09   -24.09     1.747
    5.75    12.64    -9.47       5.89    12.31    -9.44     0.364
   -9.47     1.18    24.54      -8.15     1.68    24.40     1.418
   14.86     8.03    55.42      15.44     8.32    55.50     0.649
  -10.30     6.55    -2.89      -9.97     6.10    -2.91     0.556
  -33.80   -22.37    -2.49     -33.52   -22.30    -2.70     0.359
  -10.18     3.16    37.73      -9.08     3.42    37.87     1.130
    7.94   -11.86    18.20       7.82   -12.51    18.42     0.686
   27.76    27.17   -25.99      28.21    27.66   -26.36     0.753
  -20.63    -6.28    -1.55     -20.79    -6.23    -0.46     1.105
   16.76     2.91    40.07      17.58     2.76    40.20     0.842
   -6.72    23.13    29.04      -6.76    23.44    29.12     0.321
   33.66    22.91   -13.30      35.32    24.12   -12.59     2.175
  -28.35   -35.72   -24.66     -28.18   -34.31   -24.61     1.417
   -4.52   -21.05   -34.55      -4.38   -21.07   -34.65     0.174
   27.58   -10.69    -8.99      28.80   -10.54    -7.82     1.688
   14.08    -2.91    39.88      14.54    -3.45    39.91     0.715
  -25.63   -30.28    -7.69     -25.65   -29.96    -7.96     0.419
  -15.57   -28.07   -40.98     -15.95   -27.14   -40.53     1.108
   -8.25     9.65   -12.49      -8.52    11.36   -11.35     2.075
  -38.27    -9.21   -46.00     -37.50    -9.37   -44.83     1.413
  -15.97     0.40   -45.35     -15.93     0.63   -45.68     0.399
   -0.10   -10.19    56.29      -0.02    -9.47    56.35     0.721
    6.28    13.16    -7.28       6.46    12.74    -7.24     0.460
   24.85    25.09   -32.31      24.48    24.88   -31.73     0.717
   41.16     8.93   -16.09      42.48     8.96   -16.13     1.325
  -30.79    -0.52    -5.57     -30.43     1.09    -4.15     2.173
   -9.65    -4.32    56.83      -8.44    -3.20    57.11     1.671
    2.42    21.08    24.65       2.44    21.16    24.66     0.079
   16.82    -0.30   -28.72      16.87     0.36   -26.18     2.626
   -4.43    14.99     8.64      -3.21    13.57     9.45     2.038
   35.96    20.70   -16.28      37.35    22.24   -16.43     2.079
    1.21   -11.61    10.65       1.30   -10.82    10.33     0.854
   20.70    12.35    26.09      22.28    12.32    26.69     1.689
   15.27    14.60   -14.66      15.66    13.38   -13.83     1.526
  -31.93   -20.47   -47.08     -31.42   -19.27   -45.66     1.931
  -10.29     5.58    40.38      -9.11     5.51    40.43     1.184
    6.46    22.55    22.60       6.69    22.03    22.49     0.581
   29.83    25.60    -3.60      30.94    26.89    -3.46     1.710
  -11.04    23.53    22.89     -11.03    23.77    22.88     0.239
   35.96    -3.35   -15.43      35.81    -3.24   -15.37     0.199
    7.57    11.74   -14.67       7.56    11.34   -14.58     0.409
   36.81    -2.34   -13.26      36.62    -2.17   -13.26     0.255
  -44.32   -16.87   -21.81     -42.63   -16.59   -21.79     1.720
   18.11     6.82    34.38      19.27     6.63    34.72     1.222
   10.76    26.13    11.61      10.77    26.12    11.60     0.013
   15.76   -20.03   -13.81      16.73   -18.23   -12.71     2.317
   29.11    26.56   -12.31      30.07    28.08   -12.21     1.799
   27.63    -7.65   -29.11      27.37    -6.97   -27.96     1.364
   17.64     6.71    37.38      18.58     6.66    37.59     0.957
  -44.17   -17.54   -26.11     -42.70   -16.93   -26.18     1.592
   35.08     2.46     4.69      36.08     2.07     5.26     1.222
    8.31   -19.70    -5.27       7.85   -18.84    -5.35     0.985
   -9.38    12.36   -20.28      -8.07    14.41   -20.11     2.439
    2.12     6.78   -23.36       2.06     6.61   -23.14     0.292
  -14.65   -17.70   -46.51     -14.76   -17.47   -46.08     0.504
  -23.24   -17.19    -1.01     -23.21   -17.35     0.22     1.238
  -16.69    11.70   -37.59     -15.52    11.04   -36.41     1.793
  -15.44     0.31   -45.46     -15.40     0.44   -45.70     0.281
  -15.61   -23.29    -3.76     -15.40   -23.30    -2.30     1.477
  -40.29   -25.16   -29.82     -38.60   -24.50   -29.66     1.823
  -21.89    -9.54    -1.83     -21.85    -9.41    -0.32     1.518
  -35.37     8.60   -11.88     -36.02     9.26   -11.92     0.923
  -11.25     3.97    52.78     -10.09     3.86    52.76     1.165
   25.14    -5.17     2.30      24.92    -5.01     2.19     0.298
    1.74    -0.79   -26.99       1.43    -1.07   -26.77     0.472
  -43.78    -7.63   -37.08     -42.80    -7.95   -37.01     1.034
    0.82   -10.09    24.29       0.91    -8.97    24.26     1.121
  -37.95   -20.41   -41.89     -36.56   -19.07   -40.63     2.304
   15.71     8.80    47.72      16.58     9.05    47.86     0.915
    2.60    21.77    21.10       2.55    21.53    21.09     0.243
    7.57    23.10    20.75       7.72    22.83    20.70     0.317
    0.80   -11.93    14.44       1.37    -9.65    13.73     2.462
   13.22   -10.03    14.35      14.33   -10.91    14.96     1.547
    0.41    -9.16    42.07       0.74    -7.77    41.97     1.432
   10.37    20.37    49.15      10.04    20.72    49.13     0.478
    5.03    17.45    45.86       5.34    16.51    45.69     1.008
   13.81    -8.46    14.26      15.59    -8.80    14.94     1.943
   14.98    24.11    19.21      15.16    25.29    19.47     1.220
   11.10    17.63    50.44      12.41    18.06    51.17     1.564
  -45.26    -5.83   -13.11     -43.97    -5.83   -13.04     1.292
    4.86    17.71    -0.76       6.84    17.42     0.98     2.660
  -10.28    -0.47    50.31      -9.00     0.18    50.43     1.439
    1.38    12.99    -2.91       1.70    11.92    -2.43     1.213
   36.70     5.91     4.79      37.51     5.29     5.56     1.273
   -7.58     1.20   -35.40      -7.51     1.23   -35.43     0.076
  -18.26   -19.29    -2.00     -18.06   -19.73    -0.70     1.386
   21.39    19.02    22.99      23.11    19.33    23.73     1.893
  -19.81   -33.50   -11.81     -19.81   -33.53   -11.80     0.027
   -4.72   -24.56    -3.59      -4.62   -25.42    -3.43     0.875
   -9.90   -30.55   -10.69      -9.91   -30.45   -10.71     0.103
   16.70    15.46    37.05      18.06    15.52    37.49     1.438
   25.85    17.35    16.39      27.53    18.51    17.52     2.335
   14.01    28.74    -9.25      16.21    28.04    -8.68     2.376
   -2.81    13.69    49.70      -2.37    13.05    49.72     0.776
    9.51   -12.75    15.33       9.88   -13.50    15.61     0.883
  -26.33    -2.50   -47.81     -26.42    -2.81   -47.22     0.669
  -14.37    11.89   -17.28     -14.33    13.55   -16.21     1.972
   15.80   -11.28     8.83      16.08   -12.40     9.50     1.333
   35.01    -3.77   -13.60      35.29    -3.89   -13.53     0.314
   -7.80    22.73    28.71      -7.88    23.36    28.87     0.657
   21.41    24.11    14.83      22.75    25.52    15.76     2.154
   24.50   -15.50    -5.64      26.12   -15.15    -3.97     2.351
    1.18   -23.59   -31.52       2.41   -22.05   -30.41     2.258
  -29.28   -28.26    -4.46     -29.21   -28.16    -4.53     0.144
   -6.17    23.53    25.71      -6.15    23.94    25.70     0.404
  -20.40    -1.45    -2.21     -20.68    -1.30    -1.61     0.673
  -15.45    20.50    13.37     -14.78    19.85    14.81     1.710
  -11.37     5.49    13.01      -9.28     5.38    13.04     2.095
   17.78    20.85    32.33      18.17    22.12    32.54     1.346
    2.57   -10.34    56.52       2.65    -9.85    56.56     0.493
   -7.04   -17.92    -2.08      -7.18   -18.18    -1.84     0.386
  -38.52   -13.99   -45.72     -37.47   -12.94   -44.31     2.044
    1.38    10.36   -18.10       1.38    10.43   -18.13     0.078
  -22.95   -13.78    -0.90     -22.82   -14.03     0.69     1.615
   -9.68   -20.23    -4.66      -9.25   -21.19    -2.94     2.010
   15.33     4.57    56.51      16.06     4.44    56.57     0.736
   -5.12    -5.68    27.56      -3.40    -4.17    27.63     2.297
   30.43   -10.74   -14.46      30.75   -11.47   -14.66     0.824
  -34.66   -28.49   -36.68     -33.59   -27.06   -35.50     2.144
   -2.81   -10.67     9.25      -2.73   -10.35     9.12     0.351
    9.42    26.83     2.62      10.82    25.54     3.21     1.987
   12.11    28.75     4.87      12.70    28.26     4.90     0.762
  -10.23     2.39    33.93      -8.52     2.91    34.04     1.792
   -3.07    -8.44    49.21      -2.02    -6.86    49.47     1.914
  -27.63   -21.37    -1.17     -27.51   -21.44     0.19     1.369
   -2.89   -26.49    -9.23      -2.26   -27.35    -8.74     1.172
   36.13    20.92   -17.60      37.27    22.18   -17.72     1.700
   -0.94    -1.43   -28.26      -0.39    -1.14   -28.75     0.794
  -30.76   -28.65   -39.74     -29.93   -27.27   -38.29     2.166
  -29.00   -22.23   -46.58     -28.34   -21.38   -45.09     1.832
  -12.61   -24.61    -4.84     -12.09   -25.46    -4.01     1.291
  -21.97    -4.15    -2.27     -22.18    -3.79    -1.41     0.958
  -11.52    13.76   -26.65      -9.91    14.56   -27.12     1.854
   14.69    27.60     9.07      13.88    28.69     9.17     1.357
  -25.70     8.56   -12.82     -25.58    10.27   -11.77     2.013
    6.91   -15.09    11.23       7.31   -14.27    11.19     0.921
  -10.40    -1.13    15.55      -8.61    -0.77    15.06     1.885
   11.53   -17.50     1.58      11.90   -17.95     2.19     0.844
   -1.77    17.22     4.60      -0.29    17.15     6.98     2.799
  -12.76   -19.38    -2.73     -12.46   -20.07    -1.51     1.431
   19.62    -9.42   -26.39      19.39    -7.66   -24.20     2.815
   -6.67   -29.84   -22.08      -6.77   -29.68   -22.06     0.191
  -16.00    12.55    14.93     -14.94    14.16    15.99     2.202
    8.48    14.44    -7.10       8.74    13.31    -6.96     1.168
  -28.08     0.97   -45.21     -27.99     0.79   -44.99     0.302
  -20.49   -31.43   -37.26     -20.36   -30.39   -36.71     1.180
   32.42    19.99     1.46      34.03    21.10     1.51     1.962
   21.24    30.68   -26.26      20.78    31.29   -26.21     0.761
   20.43    27.00   -34.00      20.38    26.76   -33.79     0.320
  -41.12   -14.11   -43.32     -39.74   -13.23   -42.00     2.106
    2.20    16.36    41.78       2.28    16.93    41.89     0.584
   -3.29    -7.52    60.21      -3.68    -7.97    60.13     0.601
   -7.58    -2.41    26.59      -6.57    -1.13    26.61     1.635
   -7.96     8.07    58.22      -8.32     8.37    58.23     0.471
  -26.14   -32.63   -36.15     -25.88   -31.15   -35.17     1.794
   -0.47    -8.72    59.68      -0.71    -9.63    59.64     0.937
  -26.64   -11.71    -1.13     -26.39   -11.09     0.65     1.901
  -22.49    16.46   -18.57     -23.28    17.09   -17.26     1.655
    6.51   -17.13    -0.11       6.91   -16.72    -0.73     0.839
    8.00     9.77    60.02       7.77     9.54    63.46     3.458
   36.24    13.97   -28.93      37.43    14.64   -29.40     1.447
  -36.91   -28.16   -12.33     -36.30   -27.47   -12.78     1.024
    1.44   -23.37    -8.44       2.13   -25.32    -8.02     2.108
   11.61    -1.81    57.69      12.72    -2.85    57.87     1.534
   15.69     0.62   -28.83      16.36     0.89   -26.31     2.625
    8.24   -17.68   -21.12       8.69   -17.80   -21.46     0.573
    0.61    10.25    59.80      -0.27    10.64    62.66     3.018
  -17.34   -34.29   -30.42     -17.62   -33.53   -30.07     0.880
    5.44    23.49    13.55       5.72    22.90    13.47     0.656
  -24.41   -36.32   -26.34     -24.20   -35.07   -26.18     1.280
    8.47    -8.11   -25.06       8.15    -7.98   -24.14     0.981
   17.14    -4.54    19.14      17.19    -4.62    19.15     0.098
  -43.94    -8.33   -39.48     -42.66    -8.27   -38.62     1.543
   -2.27    21.49    27.62      -1.76    22.51    27.87     1.169
    3.44   -21.28   -27.79       4.14   -20.94   -27.77     0.781
  -18.05    -2.45    -0.26     -18.23    -2.41     0.02     0.336
  -44.79    -0.81   -24.65     -43.37    -0.60   -24.43     1.452
  -34.56   -25.51   -40.18     -33.42   -24.17   -38.65     2.338
  -11.13     4.98    57.35     -10.04     4.80    57.35     1.106
    7.43    -0.49    58.97       7.98    -0.88    62.32     3.413
  -27.60   -31.49    -9.11     -27.58   -31.03    -9.29     0.489
   26.76    -7.32    -4.33      27.05    -7.50    -4.12     0.400
  -14.10    16.13    33.17     -14.49    16.32    33.70     0.682
    6.48    -8.82    43.80       6.41    -8.54    43.80     0.290
  -20.40   -23.30    -2.74     -20.07   -23.56    -1.56     1.247
  -11.87    10.63    32.78     -11.96    10.61    32.80     0.086
   -7.82    10.97    41.19      -7.55    10.74    41.04     0.380
  -43.00     2.41   -28.23     -42.37     2.33   -28.00     0.672
    0.43   -27.13   -16.79       0.55   -27.74   -16.98     0.644
  -12.89   -33.41   -25.33     -12.95   -33.03   -25.34     0.378
   -3.87    -8.55   -33.69      -4.64    -8.41   -32.92     1.099
  -33.70    10.42   -15.96     -33.91    10.83   -15.91     0.466
    2.06    19.26    29.18       2.45    19.87    29.41     0.752
   17.24    22.90    21.46      17.38    24.26    21.98     1.467
   -4.29    10.30   -19.39      -4.06    10.92   -19.57     0.690
   39.71     5.06   -24.51      39.92     4.98   -24.99     0.526
   -5.60    -5.18    16.31      -5.09    -4.69    16.17     0.716
   -4.14    17.33     6.89      -2.00    17.18     8.68     2.797
   -6.85    20.46     9.83      -6.37    19.19    10.67     1.594
  -17.36   -34.86   -21.21     -17.49   -34.16   -21.25     0.711
  -13.10   -15.45   -46.07     -13.37   -15.44   -45.84     0.356
  -11.05     9.31   -32.94      -9.20     9.98   -33.28     1.999
  -19.93    -4.20   -48.37     -19.89    -4.33   -47.99     0.406
  -36.11    -3.86    -3.72     -36.56    -3.55    -3.02     0.884
  -43.16    -5.01    -7.02     -42.52    -5.20    -7.33     0.736
   -0.32   -19.79   -34.10      -0.88   -19.00   -32.57     1.806
   30.31    25.87   -15.21      31.35    27.51   -14.94     1.959
  -41.66    -7.47   -42.57     -40.47    -7.65   -41.75     1.461
