150 PA5-A-Debug-Answer.txt 6
     78.1891    139.3798    -59.6255     -4.4215    125.2159    -37.2487
   14.17    -2.66    42.94      13.22    -0.63    42.74     2.250
   -7.19     4.68     4.46      -7.84     5.56     4.37     1.102
  -18.50     6.61   -43.90     -18.64     7.23   -44.60     0.939
  -33.58   -16.79   -48.25     -33.76   -16.44   -47.75     0.638
  -14.03    -1.52   -49.85     -13.95    -1.36   -50.63     0.806
   16.17    10.53   -27.30      17.20    11.40   -26.78     1.444
   30.81    -6.01   -13.75      29.97    -4.86   -13.44     1.464
  -25.81   -27.66   -42.86     -25.55   -26.70   -42.26     1.166
  -26.14   -25.41   -13.59     -25.94   -24.37   -14.70     1.529
   -1.40    -7.89    11.84      -0.57    -6.18    11.57     1.921
   16.12    20.65    10.30      16.05    21.29    10.42     0.657
  -31.66   -11.76    -8.60     -31.40   -11.33    -9.11     0.724
    0.90     6.16    -7.18      -0.05     8.05    -7.51     2.140
  -25.51   -18.71    -9.40     -25.41   -18.45    -9.95     0.615
  -26.23   -25.31   -13.58     -26.00   -24.36   -14.70     1.489
   -9.37    -7.02     3.94      -8.41    -5.78     2.90     1.881
   29.29    -6.14   -23.02      28.89    -4.38   -22.52     1.872
  -28.95   -10.03   -51.67     -29.04   -10.08   -51.94     0.289
   -3.65     4.75    50.21      -2.99     5.16    50.07     0.792
   27.09    10.71    13.72      26.97    10.71    13.64     0.146
  -18.06     3.91   -14.75     -18.14     4.07   -14.59     0.236
   17.99    22.54    -1.53      18.02    24.71    -1.24     2.192
  -23.26   -31.55   -25.43     -23.10   -29.55   -25.83     2.047
   28.07    17.90     5.13      29.20    18.36     5.86     1.427
   -5.29     9.27    22.09      -5.36    10.42    22.03     1.153
   27.13    -2.70    14.28      25.96    -1.17    13.35     2.146
   -5.77     0.12   -36.92      -4.75     0.71   -37.23     1.219
  -12.19   -27.20   -41.49     -12.76   -26.23   -40.84     1.298
   -2.66    -5.83    18.86      -1.59    -4.36    18.45     1.872
   -4.26     5.10    48.50      -3.56     5.52    48.36     0.835
  -12.51     8.03   -30.27     -11.74     9.30   -30.35     1.485
   19.33    19.36    31.63      20.60    19.67    31.89     1.332
  -10.92     4.16   -11.65     -11.05     4.48   -11.49     0.379
  -17.97   -16.98    -7.81     -17.40   -16.41    -8.99     1.428
  -22.05   -32.32   -34.21     -21.80   -30.32   -34.21     2.012
   22.49     8.69    31.52      21.99     8.70    31.43     0.508
  -14.65     6.86    32.37     -14.42     6.88    32.37     0.235
  -11.23     5.62    48.34     -10.95     6.14    46.56     1.872
  -32.07     3.04   -44.02     -32.56     3.81   -45.07     1.392
    9.73     9.20    68.52       9.60     9.30    68.09     0.457
   31.86     9.93   -15.42      33.27    10.84   -16.22     1.854
  -18.12   -31.48   -36.82     -18.48   -29.72   -36.55     1.812
    3.40    -2.25    59.26       3.84    -0.97    59.23     1.354
    5.92    13.08    -1.95       5.69    13.22    -1.96     0.271
    9.88    17.69    -7.94       8.96    18.05    -8.27     1.044
   18.45    19.65    11.20      18.23    21.37    11.51     1.755
   -6.61    -1.53    18.84      -5.29    -0.99    18.59     1.448
   31.62    13.96     4.19      32.07    14.09     4.55     0.599
    6.82   -14.69    -4.26       7.14   -12.42    -5.46     2.585
   -9.48     5.18    22.22      -9.18     5.51    22.36     0.463
  -19.33    -0.35   -11.62     -19.42    -0.25   -11.45     0.213
   26.37     0.31    17.43      25.20     0.93    16.75     1.493
   34.63    -2.26   -14.32      34.04    -1.56   -14.13     0.937
  -21.54   -12.48    -7.69     -21.16   -12.05    -8.55     1.034
   16.57    11.54    68.08      16.55    11.54    68.02     0.060
   -5.53     9.14    16.78      -6.25     9.67    16.55     0.926
   25.93    18.10   -15.49      27.55    19.99   -16.63     2.734
   14.34    19.31    19.69      13.87    21.01    19.48     1.778
   24.80    14.24   -23.99      26.24    15.05   -25.94     2.557
   25.70    -3.29    15.36      24.61    -1.51    14.21     2.383
    3.03    10.30     4.22       2.48    11.50     4.31     1.318
  -30.13   -11.12    -8.72     -30.14   -11.12    -8.69     0.038
    1.13    17.16    44.28       0.54    18.25    44.46     1.253
   35.34     1.18   -16.65      35.81     0.62   -16.80     0.743
   -1.76     0.15    46.40      -1.38     0.75    46.34     0.711
  -21.98   -12.55   -52.71     -21.94   -12.47   -52.41     0.311
   12.24    -5.33    31.61      11.93    -2.93    31.06     2.483
   -7.85    -0.99   -43.13      -7.05    -0.70   -43.61     0.985
  -12.17   -21.57   -11.93     -12.89   -20.92   -12.95     1.403
   34.51    -2.41    -2.14      34.03    -2.01    -2.07     0.628
  -27.61     0.93   -11.47     -27.86     1.22   -11.93     0.598
  -32.44     5.44   -41.19     -33.27     6.66   -41.69     1.557
  -13.48   -16.55   -50.15     -13.66   -16.35   -49.80     0.449
   27.94    17.68     6.40      28.70    17.99     6.89     0.950
  -10.19    11.67    39.60     -10.84    12.25    39.77     0.890
    9.21    -2.98   -21.43       9.93    -2.76   -23.20     1.920
    2.18   -15.06   -30.77       3.27   -15.14   -31.30     1.221
  -10.71     3.89    26.74     -10.18     4.71    26.86     0.984
  -28.64    -1.46   -11.31     -29.20    -1.33   -12.09     0.967
  -21.90   -22.05   -10.07     -21.54   -20.90   -11.33     1.751
  -10.14   -28.92   -27.12     -10.72   -27.08   -27.19     1.929
  -31.47   -26.71   -18.12     -30.73   -25.44   -18.97     1.697
  -29.54   -29.88   -35.15     -28.86   -28.53   -34.90     1.534
   -9.82     6.10    25.22     -10.24     5.97    25.11     0.456
    4.79    -2.85    67.96       5.22    -1.13    67.94     1.767
  -29.41   -27.71   -18.11     -28.38   -26.76   -18.93     1.631
   -1.22    -1.19    45.47      -0.60     0.21    45.23     1.551
  -15.37    -8.05    -4.16     -14.76    -7.89    -4.73     0.846
    4.55   -11.63   -26.67       5.42   -11.68   -27.58     1.260
   -3.25    -2.31    32.61      -2.35    -1.40    32.62     1.275
    8.10    11.26    -6.12       7.28    12.33    -7.15     1.688
   29.97    17.02    -6.29      31.08    17.37    -5.66     1.324
  -21.33    -7.83   -52.10     -21.20    -8.10   -52.91     0.872
  -28.82   -22.17   -12.04     -28.50   -21.15   -13.32     1.666
