150 PA5-A-Debug-Answer.txt 6
    -25.0934    -67.5665    -19.7536   -139.4001    -90.6210     53.5104
   34.88    14.19     2.75      36.48    14.70     2.85     1.681
    7.06   -10.02    27.82       6.63    -9.16    27.78     0.958
   14.35    13.19   -19.05      14.95    13.24   -18.63     0.732
   -7.79   -22.30   -43.36      -8.67   -21.89   -42.20     1.509
   13.60    -7.80    27.48      13.24    -6.69    27.37     1.170
   -7.52    25.73    27.38     -10.72    26.51    28.06     3.361
   -7.16    15.65    33.68      -5.63    16.22    33.37     1.660
  -41.24    -0.15   -23.89     -41.36    -0.07   -23.91     0.145
    1.61    17.26    45.73      -0.42    19.04    47.73     3.363
  -27.66   -36.42   -24.86     -27.26   -34.89   -24.71     1.591
   29.63     3.39    13.38      30.39     3.02    14.17     1.160
   35.71    -0.30     6.91      36.73    -1.18     7.56     1.490
  -10.70   -16.53    -1.85     -10.69   -16.49    -1.87     0.038
   -1.34    27.51    10.63      -1.76    27.41    11.39     0.875
  -14.06   -16.77   -48.21     -13.68   -15.68   -46.07     2.429
   -7.68    -0.51    43.67      -6.64    -0.62    43.68     1.047
   -6.19   -30.34   -22.43      -5.88   -30.77   -22.38     0.533
   -1.34   -13.90     9.51      -1.31   -13.25     9.39     0.663
   13.93     0.40    59.65      13.62     0.43    61.17     1.561
   12.82   -11.50     4.15      12.66   -10.91     3.94     0.644
   23.22   -10.12   -26.72      23.79    -7.62   -25.50     2.844
   -0.37   -12.64   -27.04      -0.72   -13.27   -27.09     0.722
    5.24    19.66    37.96       7.40    22.74    39.04     3.911
   39.63     1.76    -6.82      39.56     1.80    -6.80     0.086
    0.62   -12.74    17.12       0.73   -11.54    16.97     1.218
  -31.80   -32.35   -35.15     -30.14   -30.05   -33.66     3.211
  -36.37   -30.91   -20.21     -35.58   -29.97   -20.31     1.233
   26.72   -11.22     2.59      26.73   -11.23     2.59     0.011
   -0.69    -2.76   -28.36      -1.80    -2.99   -27.67     1.326
   28.83    -8.22   -28.06      27.57    -6.69   -26.23     2.699
   -0.22   -14.45     6.74      -0.19   -13.82     6.62     0.642
   -7.86     4.02   -31.41      -6.87     3.93   -31.41     0.993
  -41.88   -13.25   -38.83     -39.30   -12.13   -37.72     3.022
   21.52     0.12    28.26      21.33     0.22    28.22     0.212
   27.21    11.21    18.90      28.96    11.13    19.95     2.039
   -6.99    -7.09    30.28      -4.89    -6.39    30.25     2.215
   -1.71    -0.73    60.05      -2.26    -0.33    61.81     1.889
   -9.52   -25.01   -11.52      -9.03   -26.68    -9.05     3.021
   10.94     9.54    60.66      10.96     9.39    62.39     1.729
   -7.03     3.65    45.03      -5.73     3.36    45.01     1.334
    2.03    20.84     2.64       2.88    20.15     3.31     1.285
    4.19    11.50   -15.56       4.19    11.51   -15.58     0.026
   -3.64    15.64     5.73      -1.60    14.39     6.35     2.466
   24.39     3.11   -35.44      25.84     3.56   -33.66     2.337
    1.31    11.50    59.84       0.83    12.14    61.56     1.896
  -14.89   -33.89   -18.71     -14.87   -33.95   -18.70     0.061
  -30.18     3.83   -37.75     -29.90     3.38   -37.36     0.659
   -9.48   -19.32    -7.77      -8.91   -19.77    -6.96     1.085
  -20.88   -13.63    -4.11     -20.74   -14.07    -2.30     1.872
  -35.19     4.00   -30.76     -35.20     4.00   -30.76     0.003
   -8.26   -15.24     1.67      -8.26   -15.02     1.56     0.241
   21.26    -7.90    12.05      21.32    -7.71    12.02     0.202
   22.11    -9.54     8.33      22.34    -9.17     8.30     0.436
    4.53    26.03     5.50       5.03    25.39     5.90     0.907
  -19.45   -35.58   -16.89     -19.47   -34.59   -16.98     0.997
   -8.24    -6.31    59.40      -8.04    -6.37    59.44     0.211
   11.20    -8.47    37.86      10.74    -7.49    37.81     1.089
  -27.30     8.34   -31.68     -27.45     8.60   -31.87     0.352
   19.69   -12.33    -4.31      19.53   -12.06    -4.52     0.372
   10.40    19.18    39.45      10.40    21.65    39.76     2.485
  -32.48   -30.58   -14.09     -32.45   -30.54   -14.12     0.058
   -3.42   -12.55   -35.31      -2.76   -12.46   -35.79     0.820
   16.17    24.82    16.12      17.23    28.36    17.13     3.832
  -29.39     2.30   -40.41     -28.84     1.54   -39.27     1.474
  -37.60   -26.35   -13.53     -37.34   -26.07   -13.70     0.422
   -2.62   -12.05    43.34      -1.73   -10.50    43.38     1.793
   -9.62     3.48     9.52      -9.78     3.56     9.56     0.186
   21.11    -6.83    14.56      21.02    -6.46    14.43     0.400
   -7.43    -6.47    41.07      -5.53    -5.53    41.18     2.124
   -6.16     8.07    -4.58      -6.93     9.47    -4.46     1.605
   20.23     7.37    41.81      21.03     7.26    42.01     0.835
   34.64    -5.96   -13.76      33.95    -5.63   -14.03     0.803
   12.65   -11.25   -22.98      12.47    -9.09   -20.98     2.948
   -3.46   -15.20     2.28      -3.63   -14.38     1.98     0.889
   16.02    26.16   -18.34      14.95    26.54   -18.23     1.141
   21.63     3.58    32.34      21.76     3.53    32.37     0.138
   14.37    22.69   -17.53      14.95    22.89   -17.57     0.612
   22.61    10.31   -34.55      23.38     9.79   -32.07     2.653
    5.53   -12.49    11.43       5.37   -11.92    11.30     0.603
   -0.60    10.18   -14.29      -0.93    11.89   -14.43     1.754
   -9.09    -0.79   -40.00      -8.87    -0.64   -40.53     0.597
  -24.86   -36.21   -32.26     -24.39   -33.67   -30.95     2.899
   15.21    18.78   -21.28      15.81    18.82   -21.08     0.630
    6.62    -7.70   -25.20       5.35    -7.01   -23.10     2.543
   -7.98   -27.90   -38.43      -8.86   -27.39   -37.57     1.330
   26.08    -1.29    15.54      26.36    -1.43    15.90     0.470
   12.65    -7.87    35.67      12.13    -6.93    35.64     1.072
    1.98    25.49     7.60       2.53    25.10     8.14     0.863
   -0.69    24.16     7.38       0.59    23.63     9.12     2.218
   13.09    28.82    -0.41      11.97    29.53    -1.00     1.446
   -8.81   -24.28   -11.55      -7.29   -25.20    -8.87     3.223
  -10.52    -8.54   -45.87     -11.05    -8.80   -45.30     0.823
    3.94   -10.11   -26.37       2.63    -8.97   -24.03     2.923
   16.78    26.63   -19.90      15.06    27.25   -19.73     1.837
  -13.91   -16.97    -4.33     -13.85   -17.40    -4.22     0.452
   -4.47    29.73    11.99      -4.80    29.87    11.55     0.570
   21.87    25.37     4.99      23.90    27.91     5.50     3.286
    4.15     4.16    60.14       5.12     4.68    62.02     2.176
    7.09   -16.94    -0.65       7.14   -17.31    -0.62     0.370
  -21.83   -34.73   -16.05     -21.81   -34.56   -16.09     0.174
   -9.39   -22.57   -10.96      -8.89   -22.62    -7.77     3.229
   -9.74    -1.53    20.60      -9.40    -1.62    20.53     0.360
   38.97     7.14    -5.30      39.47     7.19    -5.40     0.506
  -29.44   -34.89   -20.57     -29.21   -33.95   -20.69     0.978
   30.84   -11.27   -19.47      30.34   -10.00   -18.80     1.524
   28.52    -8.24   -28.16      27.55    -6.61   -26.31     2.653
  -39.02   -10.14   -42.08     -37.32   -10.52   -39.77     2.886
  -11.89    -3.96    11.49     -11.35    -3.87    11.29     0.585
  -15.91   -14.72    -2.87     -15.99   -15.00    -2.47     0.495
  -42.99   -21.51   -18.50     -42.21   -21.16   -18.64     0.865
  -44.56   -20.00   -22.62     -43.49   -19.55   -22.58     1.162
   13.97    10.56    59.90      14.59    11.15    62.17     2.422
  -24.36    10.01   -30.52     -24.69    10.77   -30.89     0.911
   -2.27   -14.34   -29.38      -1.14   -12.96   -29.23     1.790
    6.68    23.39    27.92       7.20    27.20    29.75     4.256
  -44.12   -20.83   -32.54     -42.17   -20.66   -31.75     2.113
    0.23   -12.15    45.31      -0.02   -10.90    45.36     1.271
