150 PA5-A-Debug-Answer.txt 6
    112.6853     50.3517     57.0126     46.8701    -58.5139    -22.1466
   18.15   -10.37    -1.12      18.15   -10.37    -1.12     0.001
  -33.06   -27.89   -28.92     -33.06   -27.89   -28.92     0.000
  -42.53   -18.92   -32.60     -42.53   -18.92   -32.60     0.000
   14.91    20.73    40.68      14.91    20.72    40.68     0.007
   26.17    -9.73    -4.74      26.17    -9.73    -4.74     0.001
  -36.47   -21.87   -18.17     -36.47   -21.87   -18.17     0.000
  -13.24    11.53    25.78     -13.24    11.53    25.78     0.002
  -44.13   -15.14   -35.63     -44.13   -15.14   -35.63     0.002
   -5.25    -6.93   -43.10      -5.25    -6.93   -43.10     0.000
  -33.71     1.33   -39.74     -33.71     1.33   -39.74     0.000
    4.21     6.67    69.55       4.21     6.67    69.55     0.003
    6.10    17.36    -8.67       6.10    17.36    -8.67     0.005
   11.60    19.19    54.02      11.60    19.18    54.02     0.005
   -6.49    15.25     8.09      -6.49    15.24     8.09     0.008
   22.80   -11.03    -7.09      22.80   -11.03    -7.10     0.002
   16.49   -10.93   -21.04      16.49   -10.93   -21.04     0.004
  -21.50   -31.29   -36.19     -21.50   -31.29   -36.19     0.003
   -6.83    12.00    40.01      -6.83    12.00    40.01     0.005
  -16.30   -30.19   -17.82     -16.30   -30.18   -17.82     0.005
   19.39    -4.15    41.06      19.39    -4.15    41.06     0.001
   32.49     9.80   -23.99      32.49     9.80   -23.99     0.001
    5.54    21.29    30.20       5.54    21.28    30.20     0.011
   37.04    -2.68     2.74      37.04    -2.68     2.75     0.001
  -26.89   -31.90   -28.23     -26.89   -31.90   -28.23     0.004
    8.67     7.75   -13.33       8.67     7.74   -13.33     0.005
   34.99    11.56   -11.43      34.99    11.56   -11.43     0.001
   11.67    -4.99    70.43      11.67    -4.99    70.43     0.002
    4.25    19.55     0.80       4.25    19.55     0.80     0.002
   35.96    -4.02     3.57      35.96    -4.03     3.57     0.004
    3.42    -3.53    44.24       3.42    -3.53    44.24     0.007
   -8.37     2.67    58.21      -8.37     2.66    58.21     0.006
   -7.21     8.47    62.03      -7.20     8.47    62.03     0.002
  -32.74     6.64   -32.27     -32.74     6.64   -32.27     0.004
    1.77    -4.84    33.84       1.77    -4.84    33.84     0.003
   35.70     7.71   -14.80      35.70     7.71   -14.80     0.003
    0.99    16.50     1.42       0.99    16.50     1.42     0.001
  -38.13    -3.18   -39.69     -38.13    -3.18   -39.69     0.002
   11.84    -6.01    69.56      11.85    -6.02    69.56     0.008
   18.98    -4.23    48.01      18.98    -4.24    48.01     0.006
  -14.04     8.69   -36.61     -14.04     8.68   -36.61     0.006
   -0.46   -13.62   -37.61      -0.46   -13.62   -37.61     0.001
   -8.97   -21.61   -10.89      -8.97   -21.61   -10.90     0.002
    9.11    17.09    67.73       9.11    17.08    67.73     0.006
   28.98     2.99   -31.96      28.98     2.99   -31.96     0.000
   20.15     2.17   -28.08      20.15     2.17   -28.08     0.001
  -25.35   -10.43    -7.01     -25.35   -10.43    -7.00     0.003
  -14.08     4.21     5.92     -14.07     4.21     5.92     0.006
  -11.69   -28.66   -19.13     -11.69   -28.67   -19.13     0.002
    0.52   -17.00   -29.73       0.52   -16.99   -29.73     0.001
   40.27     5.30    -0.47      40.27     5.30    -0.47     0.000
  -33.81     0.54   -40.53     -33.81     0.54   -40.53     0.003
    6.29     2.95   -18.78       6.29     2.95   -18.78     0.000
   21.46    22.54     7.03      21.46    22.53     7.03     0.007
   11.29    22.07    24.91      11.29    22.06    24.91     0.004
   10.93   -15.39    -8.15      10.93   -15.39    -8.15     0.005
    6.23    20.28    38.10       6.23    20.27    38.10     0.007
  -37.04    -0.83   -38.84     -37.04    -0.83   -38.83     0.001
   -9.50   -13.01    -2.02      -9.50   -13.02    -2.02     0.002
   10.14    21.04    -9.20      10.14    21.04    -9.20     0.003
  -28.41   -30.97   -33.00     -28.41   -30.96   -33.00     0.002
   -7.01   -15.31    -5.69      -7.01   -15.30    -5.69     0.002
    8.03    -4.62    52.09       8.03    -4.62    52.09     0.006
   -9.89   -18.58    -8.22      -9.89   -18.59    -8.22     0.001
  -44.47    -6.79   -36.84     -44.47    -6.79   -36.84     0.001
  -36.19    -0.15   -16.26     -36.19    -0.15   -16.26     0.003
   15.03    20.48    41.04      15.03    20.48    41.04     0.002
  -28.55   -13.14    -6.70     -28.55   -13.14    -6.70     0.001
   10.26   -12.74   -20.32      10.26   -12.73   -20.31     0.005
    1.27    14.87    -0.76       1.27    14.87    -0.76     0.003
   -4.92     4.27    70.20      -4.92     4.27    70.20     0.000
   -9.54     2.82    25.24      -9.54     2.82    25.24     0.006
   21.63    -2.82   -27.96      21.63    -2.82   -27.96     0.001
  -36.24   -21.51   -38.09     -36.24   -21.51   -38.09     0.005
   35.80     6.64     8.62      35.80     6.64     8.62     0.001
    2.14    18.12    48.82       2.14    18.12    48.82     0.002
   37.39    10.74     5.91      37.39    10.73     5.91     0.005
    7.82     6.81    68.95       7.82     6.81    68.95     0.001
   16.93    23.32   -10.39      16.93    23.32   -10.39     0.003
  -19.35    -7.94    -3.32     -19.35    -7.94    -3.32     0.003
   -4.24    11.48    68.19      -4.24    11.48    68.20     0.003
  -22.87   -24.92   -11.35     -22.87   -24.92   -11.35     0.002
    7.33    18.97    -8.17       7.33    18.97    -8.17     0.002
